row_label_raw,row_label_full,Financial assets,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
1. Freely transferred financial assets,1. Freely transferred financial assets,1. Freely transferred financial assets,2.661.400.000,2.662.400.000,2661400000.0,2662400000.0
2. Restructedly transferred financial assets,2. Restructedly transferred financial assets,2. Restructedly transferred financial assets,27.279.920.000,345.346.590.000,27279920000.0,345346590000.0
3. Mortgaged financial assets,3. Mortgaged financial assets,3. Mortgaged financial assets,,,,
4. Blocked financial assets,4. Blocked financial assets,4. Blocked financial assets,,,,
Total,4. Blocked financial assets > Total,Total,29.941.320.000,348.008.990.000,29941320000.0,348008990000.0
