row_label_raw,row_label_full,Items,Current period,Previous period,numeric__Current period,numeric__Previous period
Accounting profit after CIT,Accounting profit after CIT,Accounting profit after CIT,396.754.274.822,567.317.494.337,396754274822.0,567317494337.0
Profit or loss attributable to ordinary equity holders,Profit or loss attributable to ordinary equity holders,Profit or loss attributable to ordinary equity holders,396.754.274.822,567.317.494.337,396754274822.0,567317494337.0
Bonus and welfare fund,Bonus and welfare fund,Bonus and welfare fund,,41.681.220.439,,41681220439.0
The weighted average of outstanding shares,The weighted average of outstanding shares,The weighted average of outstanding shares,341.681.685,303.532.120,341681685.0,303532120.0
Basic earnings per share,Basic earnings per share,Basic earnings per share,1.161,1.732,1161.0,1732.0
