row_label_raw,row_label_full,Các bên liên quan (Thuyết minh số 32),Số cuối năm > 1.422.990.761.472,VND Số đầu năm > 1.284.148.949.838,numeric__Số cuối năm > 1.422.990.761.472,numeric__VND Số đầu năm > 1.284.148.949.838
Các bên khác,Các bên khác,Các bên khác,-,75.000.000,,75000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.422.990.761.472,1.284.223.949.838,1422990761472.0,1284223949838.0
