row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,28.068.778.626,18.443.926.869,28068778626.0,18443926869.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",15.452.336.746,6.826.698.961,15452336746.0,6826698961.0
Phần mềm,Phần mềm,Phần mềm,2.168.085.111,533.663.908,2168085111.0,533663908.0
Khác,Khác,Khác,10.448.356.769,11.083.564.000,10448356769.0,11083564000.0
Dài hạn,Dài hạn,Dài hạn,523.466.511.033,255.725.959.693,523466511033.0,255725959693.0
Gia súc,Gia súc,Gia súc,401.561.817.305,216.038.534.458,401561817305.0,216038534458.0
Thuê đất,Thuê đất,Thuê đất,41.984.847.592,-,41984847592.0,
Chi phí cải tạo và sửa chữa,Chi phí cải tạo và sửa chữa,Chi phí cải tạo và sửa chữa,27.116.570.527,8.753.089.994,27116570527.0,8753089994.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",22.362.165.221,13.007.972.331,22362165221.0,13007972331.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,15.168.692.243,10.183.897.652,15168692243.0,10183897652.0
Chi phí quản lý dự án,Chi phí quản lý dự án,Chi phí quản lý dự án,10.338.468.990,-,10338468990.0,
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,1.666.666.667,3.333.333.333,1666666667.0,3333333333.0
Khác,Khác,Khác,3.267.282.488,4.409.131.925,3267282488.0,4409131925.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,551.535.239.659,274.169.886.562,551535239659.0,274169886562.0
