row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân bổ chi phí phát hành trái phiếu,Phân bổ lũy kế giá trị chiết khấu,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân bổ chi phí phát hành trái phiếu,numeric__Phân bổ lũy kế giá trị chiết khấu,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.067.666.119.259,3.232.246.538.554,(1.919.241.744.182),2.458.851.087,-,298.876.119.771,2.682.005.884.489,1067666119259.0,3232246538554.0,-1919241744182.0,2458851087.0,,298876119771.0,2682005884489.0
Vay ngân hàng(Thuyết minh số 23.1),Vay ngân hàng(Thuyết minh số 23.1),Vay ngân hàng(Thuyết minh số 23.1),581.607.602.496,1.884.546.538.554,(1.295.108.622.033),-,-,-,1.171.045.519.017,581607602496.0,1884546538554.0,-1295108622033.0,,,,1171045519017.0
Vay các bên liên quan(Thuyết minh số 23.2 và số 32),Vay các bên liên quan(Thuyết minh số 23.2 và số 32),Vay các bên liên quan(Thuyết minh số 23.2 và số 32),185.254.019.000,1.347.700.000.000,(320.635.000.000),-,-,-,1.212.319.019.000,185254019000.0,1347700000000.0,-320635000000.0,,,,1212319019000.0
Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 23.5),Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 23.5),Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 23.5),297.541.148.913,-,(300.000.000.000),2.458.851.087,-,296.058.840.183,296.058.840.183,297541148913.0,,-300000000000.0,2458851087.0,,296058840183.0,296058840183.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 23.7),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 23.7),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 23.7),3.263.348.850,-,(3.498.122.149),-,-,2.817.279.588,2.582.506.289,3263348850.0,,-3498122149.0,,,2817279588.0,2582506289.0
Dài hạn,Dài hạn,Dài hạn,771.597.790.305,703.224.075.000,-,17.685.679.349,21.138.771.808,(298.876.119.771),1.214.770.196.691,771597790305.0,703224075000.0,,17685679349.0,21138771808.0,-298876119771.0,1214770196691.0
Trái phiếu phát hành(Thuyết minh số 23.5),Trái phiếu phát hành(Thuyết minh số 23.5),Trái phiếu phát hành(Thuyết minh số 23.5),287.664.593.601,474.500.000.000,-,13.959.999.959,-,(296.058.840.183),480.065.753.377,287664593601.0,474500000000.0,,13959999959.0,,-296058840183.0,480065753377.0
Trái phiếu chuyển đổi(Thuyết minh số 23.6),Trái phiếu chuyển đổi(Thuyết minh số 23.6),Trái phiếu chuyển đổi(Thuyết minh số 23.6),475.246.584.653,-,-,3.725.679.390,21.138.771.808,-,500.111.035.851,475246584653.0,,,3725679390.0,21138771808.0,,500111035851.0
Vay ngân hàng(Thuyết minh số 23.3),Vay ngân hàng(Thuyết minh số 23.3),Vay ngân hàng(Thuyết minh số 23.3),-,207.056.000.000,-,-,-,-,207.056.000.000,,207056000000.0,,,,,207056000000.0
Vay bên khác(Thuyết minh số 23.4),Vay bên khác(Thuyết minh số 23.4),Vay bên khác(Thuyết minh số 23.4),-,21.668.075.000,-,-,-,-,21.668.075.000,,21668075000.0,,,,,21668075000.0
Nợ thuê tài chính(Thuyết minh số 23.7),Nợ thuê tài chính(Thuyết minh số 23.7),Nợ thuê tài chính(Thuyết minh số 23.7),8.686.612.051,-,-,-,-,(2.817.279.588),5.869.332.463,8686612051.0,,,,,-2817279588.0,5869332463.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.839.263.909.564,3.935.470.613.554,(1.919.241.744.182),20.144.530.436,21.138.771.808,-,3.896.776.081.180,1839263909564.0,3935470613554.0,-1919241744182.0,20144530436.0,21138771808.0,,3896776081180.0
