row_label_raw,row_label_full,col_0,Tỉnh hình hoạt động,Số cuối năm > Tỷ lệ vốnnăm giữ(%),Số cuối năm > Giá gốcVND,Số cuối năm > Dự phòngVND,Số đầu năm > Tỷ lệ vốnnăm giữ(%),Số đầu năm > Giá gốcVND,Số đầu năm > Dự phòngVND,numeric__Tỉnh hình hoạt động,numeric__Số cuối năm > Tỷ lệ vốnnăm giữ(%),numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số đầu năm > Tỷ lệ vốnnăm giữ(%),numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Dự phòngVND
Chăn nuôi TMC (11),Chăn nuôi TMC (11),Chăn nuôi TMC (11),Đang xây dựng,"99,98",77.633.032.838,-,-,-,-,,99.98,77633032838.0,,,,
Thành Đạt Gia Lai (12),Thành Đạt Gia Lai (12),Thành Đạt Gia Lai (12),Giai đoạn trước hoạt động,"99,99",64.602.086.000,-,-,-,-,,99.99,64602086000.0,,,,
Thiên Phú Sơn,Thiên Phú Sơn,Thiên Phú Sơn,Giai đoạn trước hoạt động,"100,00",64.183.771.710,-,"100,00",64.183.771.710,-,,100.0,64183771710.0,,100.0,64183771710.0,
Hòa Phát Bốn (13),Hòa Phát Bốn (13),Hòa Phát Bốn (13),Giai đoạn trước hoạt động,"99,99",58.383.684.234,-,-,-,-,,99.99,58383684234.0,,,,
Chăn nuôi Minh Thành (14),Chăn nuôi Minh Thành (14),Chăn nuôi Minh Thành (14),Đang hoạt động,"100,00",50.000.000.000,-,"98,00",49.000.000.000,-,,100.0,50000000000.0,,98.0,49000000000.0,
Sông Hinh,Sông Hinh,Sông Hinh,Giai đoạn trước hoạt động,"100,00",48.000.000.000,-,"100,00",48.000.000.000,-,,100.0,48000000000.0,,100.0,48000000000.0,
Trang Trại Xanh 1 (15),Trang Trại Xanh 1 (15),Trang Trại Xanh 1 (15),Đang hoạt động,"100,00",40.000.000.000,-,"98,00",39.200.000.000,-,,100.0,40000000000.0,,98.0,39200000000.0,
Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Đang hoạt động,"100,00",20.000.000.000,(12.024.249.276),"100,00",20.000.000.000,(12.024.249.276),,100.0,20000000000.0,-12024249276.0,100.0,20000000000.0,-12024249276.0
Phân bón Hữu cơ,Phân bón Hữu cơ,Phân bón Hữu cơ,,,,-,"100,00",20.000.000.000,-,,,,,100.0,20000000000.0,
Vi sinh BAF,Vi sinh BAF,Vi sinh BAF,Giai đoạn đầu hoạt động,"100,00",20.000.000.000,,,,,,100.0,20000000000.0,,,,
Logistic BAF,Logistic BAF,Logistic BAF,Giai đoạn đầu hoạt động,"100,00",20.000.000.000,-,"100,00",20.000.000.000,-,,100.0,20000000000.0,,100.0,20000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,3.453.593.212.419,(12.024.249.276),,2.006.274.409.347,(12.024.249.276),,,3453593212419.0,-12024249276.0,,2006274409347.0,-12024249276.0
