row_label_raw,row_label_full,Năm phát sinh,Có thể được chuyển thành chi phí lãi vay được trừ thuế đến năm,Chi phí lãi vay chưa được trừ thuế phát sinh,Chi phí lãi vay chưa được trừ đã chuyển sang năm sau tính đến ngày 31/12/2025,Chi phí lãi vay chưa được trừ không còn được chuyển sang năm sau đến ngày 31/12/2025,Chi phí lãi vay chưa được trừ chưa chuyển sang năm sau tại ngày 31/12/2025,numeric__Có thể được chuyển thành chi phí lãi vay được trừ thuế đến năm,numeric__Chi phí lãi vay chưa được trừ thuế phát sinh,numeric__Chi phí lãi vay chưa được trừ đã chuyển sang năm sau tính đến ngày 31/12/2025,numeric__Chi phí lãi vay chưa được trừ không còn được chuyển sang năm sau đến ngày 31/12/2025,numeric__Chi phí lãi vay chưa được trừ chưa chuyển sang năm sau tại ngày 31/12/2025
Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,,,,,
2023,Trụ sở chính > 2023,2023,2028,71.736.201.790,(20.671.107.602),-,51.065.094.188,2028.0,71736201790.0,-20671107602.0,,51065094188.0
2025,Trụ sở chính > 2025,2025,2030,62.717.344.188,-,-,62.717.344.188,2030.0,62717344188.0,,,62717344188.0
,,,,134.453.545.978,(20.671.107.602),-,113.782.438.376,,134453545978.0,-20671107602.0,,113782438376.0
Các chỉ nhánh hạch toán độc lập,Các chỉ nhánh hạch toán độc lập,Các chỉ nhánh hạch toán độc lập,Các chỉ nhánh hạch toán độc lập,Các chỉ nhánh hạch toán độc lập,Các chỉ nhánh hạch toán độc lập,Các chỉ nhánh hạch toán độc lập,Các chỉ nhánh hạch toán độc lập,,,,,
2024,Các chỉ nhánh hạch toán độc lập > 2024,2024,2029,1.817.791.705,-,-,1.817.791.705,2029.0,1817791705.0,,,1817791705.0
2025,Các chỉ nhánh hạch toán độc lập > 2025,2025,2030,5.573.330.647,-,-,5.573.330.647,2030.0,5573330647.0,,,5573330647.0
,,,,7.391.122.352,-,-,7.391.122.352,,7391122352.0,,,7391122352.0
TỔNG CỘNG,Các chỉ nhánh hạch toán độc lập > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,141.844.668.330,(20.671.107.602),-,121.173.560.728,,141844668330.0,-20671107602.0,,121173560728.0
