row_label_raw,row_label_full,Phải trả các bên liên quan(Thuyết minh số 32),Số cuối năm > 1.158.858.605.042,VND Số đầu năm > 859.867.820.978,numeric__Số cuối năm > 1.158.858.605.042,numeric__VND Số đầu năm > 859.867.820.978
Phải trả các bên khác,Phải trả các bên khác,Phải trả các bên khác,637.681.779.995,1.117.470.543.474,637681779995.0,1117470543474.0
Công ty Cổ phần CBOT Việt Nam,Công ty Cổ phần CBOT Việt Nam,Công ty Cổ phần CBOT Việt Nam,321.164.422.100,129.486.638.300,321164422100.0,129486638300.0
Công ty Cổ phần Gạo Vĩ Dân,Công ty Cổ phần Gạo Vĩ Dân,Công ty Cổ phần Gạo Vĩ Dân,-,345.918.789.340,,345918789340.0
Công ty Cổ phần Phát triển Nông NghiệpBảo Lộc,Công ty Cổ phần Phát triển Nông NghiệpBảo Lộc,Công ty Cổ phần Phát triển Nông NghiệpBảo Lộc,-,316.855.022.050,,316855022050.0
Công ty Cổ phần Nông nghiệp Kiến Nông,Công ty Cổ phần Nông nghiệp Kiến Nông,Công ty Cổ phần Nông nghiệp Kiến Nông,-,158.540.603.000,,158540603000.0
Các bên khác,Các bên khác,Các bên khác,316.517.357.895,166.669.490.784,316517357895.0,166669490784.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.796.540.385.037,1.977.338.364.452,1796540385037.0,1977338364452.0
