row_label_raw,row_label_full,Năm phát sinh,Có thể chuyển lỗ đến năm,Lỗ tính thuế,Đã chuyển lỗ đến ngày 31/12/2025,Không được chuyển lỗ,VND Chưa chuyển lỗ tai ngày 31/12/2025,numeric__Có thể chuyển lỗ đến năm,numeric__Lỗ tính thuế,numeric__Đã chuyển lỗ đến ngày 31/12/2025,numeric__Không được chuyển lỗ,numeric__VND Chưa chuyển lỗ tai ngày 31/12/2025
Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,,,,,
2023,Trụ sở chính > 2023,2023,2028,198.280.386.746,(198.280.386.746),-,-,2028.0,198280386746.0,-198280386746.0,,
2025,Trụ sở chính > 2025,2025,2030,234.289.593.623,-,-,234.289.593.623,2030.0,234289593623.0,,,234289593623.0
,,,,432.569.980.369,(198.280.386.746),-,234.289.593.623,,432569980369.0,-198280386746.0,,234289593623.0
Các chi nhánh hạch toán độc lập,Các chi nhánh hạch toán độc lập,Các chi nhánh hạch toán độc lập,Các chi nhánh hạch toán độc lập,Các chi nhánh hạch toán độc lập,Các chi nhánh hạch toán độc lập,Các chi nhánh hạch toán độc lập,Các chi nhánh hạch toán độc lập,,,,,
2021,Các chi nhánh hạch toán độc lập > 2021,2021,2026,31.566.070,-,-,31.566.070,2026.0,31566070.0,,,31566070.0
2022,Các chi nhánh hạch toán độc lập > 2022,2022,2027,7.583.628.876,-,-,7.583.628.876,2027.0,7583628876.0,,,7583628876.0
2023,Các chi nhánh hạch toán độc lập > 2023,2023,2028,911.515.725,-,-,911.515.725,2028.0,911515725.0,,,911515725.0
2024,Các chi nhánh hạch toán độc lập > 2024,2024,2029,8.145.662.810,-,-,8.145.662.810,2029.0,8145662810.0,,,8145662810.0
2025,Các chi nhánh hạch toán độc lập > 2025,2025,2030,44.819.588.599,-,-,44.819.588.599,2030.0,44819588599.0,,,44819588599.0
,,,,61.491.962.080,-,-,61.491.962.080,,61491962080.0,,,61491962080.0
TỔNG CỘNG,Các chi nhánh hạch toán độc lập > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,494.061.942.449,(198.280.386.746),-,295.781.555.703,,494061942449.0,-198280386746.0,,295781555703.0
