row_label_raw,row_label_full,Ông Trương Sỹ Bá,Chủ tịch,numeric__Chủ tịch
Bà Bùi Hương Giang,Bà Bùi Hương Giang,Bà Bùi Hương Giang,Thành viên,
Ông Prasad Gopalan,Ông Prasad Gopalan,Ông Prasad Gopalan,Thành viên độc lập,
Ông Nguyễn Thanh Tân,Ông Nguyễn Thanh Tân,Ông Nguyễn Thanh Tân,Thành viên độc lập,
Ông Lê Xuân Thọ,Ông Lê Xuân Thọ,Ông Lê Xuân Thọ,Thành viên không điều hành,
