row_label_raw,row_label_full,Siba Tech,Xây dựng trại,102.240.418.462,6.672.053.139,numeric__Xây dựng trại,numeric__102.240.418.462,numeric__6.672.053.139
Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,Thuê trại,300.000.000,-,,300000000.0,
Solacons,Solacons,Solacons,Mua hàng,272.727.273,-,,272727273.0,
Phân bón Hữu cơ Vi sinh BAF,Phân bón Hữu cơ Vi sinh BAF,Phân bón Hữu cơ Vi sinh BAF,Sử dụng dịch vụ,85.945.061,-,,85945061.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,102.899.090.796,6.672.053.139,,102899090796.0,6672053139.0
