row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,VND,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__VND
,,,Giá gốc,Dự phòng,Dự phòng,Giá gốc,Giá gốc,Dự phòng,VND,,,,,,,
Đầu tư vào công ty con(Thuyết minh số 16.1),Đầu tư vào công ty con(Thuyết minh số 16.1),Đầu tư vào công ty con(Thuyết minh số 16.1),3.453.593.212.419,(12.024.249.276),(12.024.249.276),2.006.274.409.347,2.006.274.409.347,(12.024.249.276),(12.024.249.276),3453593212419.0,-12024249276.0,-12024249276.0,2006274409347.0,2006274409347.0,-12024249276.0,-12024249276.0
16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,16.1 Đầu tư vào các công ty con,,,,,,,
,,,Tỉnh hình hoạt động,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
,,,Tỉnh hình hoạt động,Tỷ lệ vốnnấm giữ(%),Giá gốcVND,Dự phòngVND,Tỷ lệ vốnnấm giữ(%),Giá gốcVND,Dự phòngVND,,,,,,,
Hải Đăng Tây Ninh,16.1 Đầu tư vào các công ty con > Hải Đăng Tây Ninh,Hải Đăng Tây Ninh,Giai đoạn đầu hoạt động,"99,82",399.280.000.000,-,"99,82",399.280.000.000,-,,99.82,399280000000.0,,99.82,399280000000.0,
CNC BAF Tây Ninh 1 (1),16.1 Đầu tư vào các công ty con > CNC BAF Tây Ninh 1 (1),CNC BAF Tây Ninh 1 (1),Giai đoạn trước hoạt động,"100,00",340.000.000.000,-,-,-,-,,100.0,340000000000.0,,,,
CNC BAF Tây Ninh 2 (2),16.1 Đầu tư vào các công ty con > CNC BAF Tây Ninh 2 (2),CNC BAF Tây Ninh 2 (2),Giai đoạn trước hoạt động,"100,00",340.000.000.000,-,-,-,-,,100.0,340000000000.0,,,,
Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,Chế biến Thực phẩm,,,,,,,
BAF Tây Ninh (3),Chế biến Thực phẩm > BAF Tây Ninh (3),BAF Tây Ninh (3),Giai đoạn đầu hoạt động,"100,00",243.000.000.000,-,"100,00",30.000.000.000,-,,100.0,243000000000.0,,100.0,30000000000.0,
BAF Tây Ninh (4),Chế biến Thực phẩm > BAF Tây Ninh (4),BAF Tây Ninh (4),Đang hoạt động,"100,00",150.000.000.000,-,"99,00",148.500.000.000,-,,100.0,150000000000.0,,99.0,148500000000.0,
BAF Ninh Bình (5),Chế biến Thực phẩm > BAF Ninh Bình (5),BAF Ninh Bình (5),Giai đoạn trước hoạt động,"100,00",150.000.000.000,-,-,-,-,,100.0,150000000000.0,,,,
Trang Trại Xanh 2,Chế biến Thực phẩm > Trang Trại Xanh 2,Trang Trại Xanh 2,Đang hoạt động,"99,69",129.600.000.000,-,"99,69",129.600.000.000,-,,99.69,129600000000.0,,99.69,129600000000.0,
Tâm Hưng,Chế biến Thực phẩm > Tâm Hưng,Tâm Hưng,Giai đoạn đầu hoạt động,"99,98",123.970.000.000,-,"99,98",123.970.000.000,-,,99.98,123970000000.0,,99.98,123970000000.0,
Tây An Khánh (6),Chế biến Thực phẩm > Tây An Khánh (6),Tây An Khánh (6),Đang xây dựng,"100,00",123.819.620.000,-,"100,00",55.819.620.000,-,,100.0,123819620000.0,,100.0,55819620000.0,
BAF Meat Bình Phước,Chế biến Thực phẩm > BAF Meat Bình Phước,BAF Meat Bình Phước,Giai đoạn trước hoạt động,"100,00",120.000.000.000,-,"100,00",120.000.000.000,-,,100.0,120000000000.0,,100.0,120000000000.0,
Bắc An Khánh (7),Chế biến Thực phẩm > Bắc An Khánh (7),Bắc An Khánh (7),Giai đoạn đầu hoạt động,"100,00",110.000.000.000,-,"99,27",109.200.000.000,-,,100.0,110000000000.0,,99.27,109200000000.0,
BAF Bình Định (8),Chế biến Thực phẩm > BAF Bình Định (8),BAF Bình Định (8),Giai đoạn trước hoạt động,"100,00",110.000.000.000,-,"98,55",108.400.000.000,-,,100.0,110000000000.0,,98.55,108400000000.0,
Anh Vũ Phú Yên (9),Chế biến Thực phẩm > Anh Vũ Phú Yên (9),Anh Vũ Phú Yên (9),Đang hoạt động,"100,00",100.000.000.000,-,"100,00",50.000.000.000,-,,100.0,100000000000.0,,100.0,50000000000.0,
Đông An Khánh,Chế biến Thực phẩm > Đông An Khánh,Đông An Khánh,Giai đoạn đầu hoạt động,"100,00",100.000.000.000,-,"100,00",100.000.000.000,-,,100.0,100000000000.0,,100.0,100000000000.0,
Nam An Khánh,Chế biến Thực phẩm > Nam An Khánh,Nam An Khánh,Giai đoạn đầu hoạt động,"100,00",100.000.000.000,-,"100,00",100.000.000.000,-,,100.0,100000000000.0,,100.0,100000000000.0,
Chăn nuôi Kim Hội,Chế biến Thực phẩm > Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,Đang hoạt động,"100,00",95.410.918.071,-,"100,00",95.410.918.071,-,,100.0,95410918071.0,,100.0,95410918071.0,
Tân Châu,Chế biến Thực phẩm > Tân Châu,Tân Châu,Giai đoạn đầu hoạt động,"99,95",89.959.150.000,-,"99,95",89.959.150.000,-,,99.95,89959150000.0,,99.95,89959150000.0,
Thanh Xuân,Chế biến Thực phẩm > Thanh Xuân,Thanh Xuân,Giai đoạn đầu hoạt động,"99,99",85.750.949.566,-,"99,99",85.750.949.566,-,,99.99,85750949566.0,,99.99,85750949566.0,
BAF Tây Ninh 1 (10),Chế biến Thực phẩm > BAF Tây Ninh 1 (10),BAF Tây Ninh 1 (10),Giai đoạn trước hoạt động,"100,00",80.000.000.000,-,-,-,-,,100.0,80000000000.0,,,,
