row_label_raw,row_label_full,Bên liên quan > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Đơn vị tính: VND Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Đơn vị tính: VND Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (i),Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (i),Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (i),Cho vay ngắn hạn,1.041.376.618.818,58.647.561.337,,1041376618818.0,58647561337.0
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (ii),Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (ii),Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (ii),Cho vay ngắn hạn,12.521.929.895,11.144.473.296,,12521929895.0,11144473296.0
Công ty Cổ phần Đầu tư Vinatex-Tân tạo (iii),Công ty Cổ phần Đầu tư Vinatex-Tân tạo (iii),Công ty Cổ phần Đầu tư Vinatex-Tân tạo (iii),Cho vay ngắn hạn,80.000.000.000,-,,80000000000.0,
Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng (iv),Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng (iv),Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng (iv),Cho vay ngắn hạn,20.636.189.803,14.077.232.877,,20636189803.0,14077232877.0
Công ty TNHH Saigontel Long An (v),Công ty TNHH Saigontel Long An (v),Công ty TNHH Saigontel Long An (v),Cho vay ngắn hạn,16.542.660.000,-,,16542660000.0,
Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 (vi),Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 (vi),Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 (vi),Cho vay ngắn hạn,1.700.000.000,-,,1700000000.0,
,,,,1.172.777.398.516,83.869.267.510,,1172777398516.0,83869267510.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (vii),Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (vii),Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (vii),Cho vay dài hạn,540.000.000.000,-,,540000000000.0,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (viii),Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (viii),Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (viii),Cho vay dài hạn,85.000.000.000,-,,85000000000.0,
,,,,625.000.000.000,-,,625000000000.0,
