row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Trả cổ tức,-,23.868.750.000,,,23868750000.0
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Tạm ứng,555.487.559.000,5.100.000.000,,555487559000.0,5100000000.0
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Thu hồi tạm ứng,147.428.500.000,-,,147428500000.0,
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Phải trả khác,1.630.000.000,-,,1630000000.0,
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Nhận gốc vay,8.529.000.000,-,,8529000000.0,
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Cho vay,110.000.000.000,-,,110000000000.0,
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Thu hồi gốc cho vay,30.000.000.000,-,,30000000000.0,
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Lãi cho vay,530.410.959,-,,530410959.0,
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Trả gốc vay,-,100.000.000.000,,,100000000000.0
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Chi phí lãi vay phải trả,-,6.399.999.667,,,6399999667.0
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Chi phí lãi vay đã trả,-,7.633.333.000,,,7633333000.0
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Cho vay,17.542.660.000,-,,17542660000.0,
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Thu hồi gốc cho vay,1.000.000.000,-,,1000000000.0,
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Lãi cho vay,193.987.980,-,,193987980.0,
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Nhận gốc vay,112.500.000.000,,,112500000000.0,
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Lãi vay phải trả,912.328.767,,,912328767.0,
Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Góp vốn,583.000.000.000,-,,583000000000.0,
Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Cho vay,1.700.000.000,-,,1700000000.0,
Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Lãi cho vay,14.904.109,,,14904109.0,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Cho vay,85.000.000.000,-,,85000000000.0,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Nhận gốc vay,7.800.000.000,-,,7800000000.0,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi cho vay,1.418.219.178,-,,1418219178.0,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Lãi đi vay,981.879.723,-,,981879723.0,
