row_label_raw,row_label_full,Bên liên quan > Vay dài hạn (Thuyết minh số 20),Nội dung nghiệp vụ > Vay dài hạn (Thuyết minh số 20),Số cuối năm > Vay dài hạn (Thuyết minh số 20),Đơn vị tính: VND > Số đầu năm > Vay dài hạn (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Vay dài hạn (Thuyết minh số 20),numeric__Số cuối năm > Vay dài hạn (Thuyết minh số 20),numeric__Đơn vị tính: VND > Số đầu năm > Vay dài hạn (Thuyết minh số 20)
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao,Vay dài hạn,-,30.000.000.000,,,30000000000.0
Sài Gòn,Sài Gòn,Sài Gòn,,-,30.000.000.000,,,30000000000.0
