row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
"Phí tự vấn, môi giới bán hàng","Chi phí bán hàng > Phí tự vấn, môi giới bán hàng","Phí tự vấn, môi giới bán hàng",172.475.781.597,47.597.826.702,172475781597.0,47597826702.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,3.251.383.000,3.846.700.257,3251383000.0,3846700257.0
Khác,Chi phí bán hàng > Khác,Khác,14.188.687.277,772.194.901,14188687277.0,772194901.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,189.915.851.874,52.216.721.860,189915851874.0,52216721860.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,135.221.477.065,134.042.533.573,135221477065.0,134042533573.0
Chi phí khấu hao TSCĐ,Chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,15.316.566.781,12.251.539.504,15316566781.0,12251539504.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,9.083.300.000,-,9083300000.0,
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,67.539.666.483,48.832.442.155,67539666483.0,48832442155.0
Chi phí tài trợ,Chi phí quản lý doanh nghiệp > Chi phí tài trợ,Chi phí tài trợ,169.197.677.614,45.092.365.073,169197677614.0,45092365073.0
Khác,Chi phí quản lý doanh nghiệp > Khác,Khác,32.198.877.500,30.501.315.257,32198877500.0,30501315257.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,428.557.565.443,270.720.195.562,428557565443.0,270720195562.0
