row_label_raw,row_label_full,Năm trước > Số đầu năm- Lợi nhuận thuần trong năm,Vốn cổ phần đã góp > Năm trước > 4.757.111.670.000,Thặng dư vốn cổ phần > Năm trước > 989.064.430.000,Cổ phiếu quỹ > Năm trước > (364.466.650.000),Quỹ đầu tư phát triển > Năm trước > 2.223.693.823,Lợi nhuận sau thuế chưa phân phối > Năm trước > 4.099.263.633.258,Lợi ích cổ đông không kiểm soát > Năm trước > 897.934.323.991,Đơn vị tính: VND Tổng cộng > Năm trước > 10.381.131.101.072,numeric__Vốn cổ phần đã góp > Năm trước > 4.757.111.670.000,numeric__Thặng dư vốn cổ phần > Năm trước > 989.064.430.000,numeric__Cổ phiếu quỹ > Năm trước > (364.466.650.000),numeric__Quỹ đầu tư phát triển > Năm trước > 2.223.693.823,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 4.099.263.633.258,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 897.934.323.991,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 10.381.131.101.072
- Chia cổ tức- Giảm khác,- Chia cổ tức- Giảm khác,- Chia cổ tức- Giảm khác,-,-,-,-,224.032.834.488,95.781.131.624(38.550.000.000),319.813.966.112(38.550.000.000),,,,,224032834488.0,,
- Chia cổ tức- Giảm khác,- Chia cổ tức- Giảm khác,- Chia cổ tức- Giảm khác,-,-,-,-,-,(6.809.316.141),(2.590.623.314),,,,,,-6809316141.0,-2590623314.0
- Chia cổ tức- Giảm khác,- Chia cổ tức- Giảm khác,- Chia cổ tức- Giảm khác,-,-,-,-,-,(6.809.316.141),(2.590.623.314),,,,,,-6809316141.0,-2590623314.0
Số cuối năm,Số cuối năm,Số cuối năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,4.316.487.151.605,952.574.832.301,10.652.995.127.729,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,4316487151605.0,952574832301.0,10652995127729.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm- Tăng vốn trong năm (*),Năm nay > Số đầu năm- Tăng vốn trong năm (*),Số đầu năm- Tăng vốn trong năm (*),4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,4.316.487.151.605,952.574.832.301,10.652.995.127.729,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,4316487151605.0,952574832301.0,10652995127729.0
Số đầu năm- Tăng vốn trong năm (*),Năm nay > Số đầu năm- Tăng vốn trong năm (*),Số đầu năm- Tăng vốn trong năm (*),1.000.000.000.000,2.408.280.000.000,-,-,-,-,3.408.280.000.000,1000000000000.0,2408280000000.0,,,,,3408280000000.0
- Cổ đông không kiểm soát góp vốn vào công ty con,Năm nay > - Cổ đông không kiểm soát góp vốn vào công ty con,- Cổ đông không kiểm soát góp vốn vào công ty con,-,-,-,-,-,1.175.000.000.000,1.175.000.000.000,,,,,,1175000000000.0,1175000000000.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,782.304.386.110,171.529.617.720,953.834.003.830,,,,,782304386110.0,171529617720.0,953834003830.0
- Chia cổ tức,Năm nay > - Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(18.750.000.000),(18.750.000.000),,,,,,-18750000000.0,-18750000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.757.111.670.000,3.397.344.430.000,(364.466.650.000),2.223.693.823,5.098.791.537.715,2.280.354.450.021,16.171.359.131.559,5757111670000.0,3397344430000.0,-364466650000.0,2223693823.0,5098791537715.0,2280354450021.0,16171359131559.0
