row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.363.902.491.603,453.172.376.342,1363902491603.0,453172376342.0
Thuế TNDN theo các thuế suất áp dụng choTập đoàn,Thuế TNDN theo các thuế suất áp dụng choTập đoàn,Thuế TNDN theo các thuế suất áp dụng choTập đoàn,345.194.614.697,119.103.272.626,345194614697.0,119103272626.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế suất 5% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Trong đó: > Thuế suất 5% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Thuế suất 5% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,236.287.827,204.606,236287827.0,204606.0
Thuế suất 10% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Trong đó: > Thuế suất 10% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Thuế suất 10% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,2.150.592.923,(6.475.598.722),2150592923.0,-6475598722.0
Thuế suất 20% của các hoạt động khác,Trong đó: > Thuế suất 20% của các hoạt động khác,Thuế suất 20% của các hoạt động khác,342.807.733.947,125.578.666.742,342807733947.0,125578666742.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,13.179.559.866,5.611.816.625,13179559866.0,5611816625.0
Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Các khoản điều chỉnh tăng: > Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,51.694.313.210,28.786.918.916,51694313210.0,28786918916.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,
Điều chỉnh thuế TNDN theo Nghị định số 68/2020/NĐ-CP,Các khoản điều chỉnh giảm: > Điều chỉnh thuế TNDN theo Nghị định số 68/2020/NĐ-CP,Điều chỉnh thuế TNDN theo Nghị định số 68/2020/NĐ-CP,-,(5.096.161.336),,-5096161336.0
Lỗ các năm trước chuyển sang,Các khoản điều chỉnh giảm: > Lỗ các năm trước chuyển sang,Lỗ các năm trước chuyển sang,-,(10.709.750.169),,-10709750169.0
Điều chỉnh thuế TNDN theo Nghị định 114/2020/NĐ-CP,Các khoản điều chỉnh giảm: > Điều chỉnh thuế TNDN theo Nghị định 114/2020/NĐ-CP,Điều chỉnh thuế TNDN theo Nghị định 114/2020/NĐ-CP,-,(4.339.271.669),,-4339271669.0
Chi phí thuế TNDN,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN,Chi phí thuế TNDN,410.068.487.773,133.358.410.230,410068487773.0,133358410230.0
