row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Ông Nguyễn Sơn (i),Ngắn hạn > Ông Nguyễn Sơn (i),Ông Nguyễn Sơn (i),-,-,583.000.000.000,-,,,583000000000.0,
Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,,,,
Cổ phần Đại Chứng Việt Nam (ii),Ứng trước cho Ngân hàng Thương mại > Cổ phần Đại Chứng Việt Nam (ii),Cổ phần Đại Chứng Việt Nam (ii),237.365.756.101,-,232.681.247.878,-,237365756101.0,,232681247878.0,
Tạm ứng cho nhân viên,Ứng trước cho Ngân hàng Thương mại > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,902.301.138.641,,73.900.914.900,-,902301138641.0,,73900914900.0,
- Bà Nguyễn Thị Yến,Ứng trước cho Ngân hàng Thương mại > - Bà Nguyễn Thị Yến,- Bà Nguyễn Thị Yến,128.330.100.000,-,-,-,128330100000.0,,,
- Ông Mai Nho Tương,Ứng trước cho Ngân hàng Thương mại > - Ông Mai Nho Tương,- Ông Mai Nho Tương,389.805.787.240,-,4.479.700.000,-,389805787240.0,,4479700000.0,
- Các đối tượng khác,Ứng trước cho Ngân hàng Thương mại > - Các đối tượng khác,- Các đối tượng khác,384.165.251.401,-,69.421.214.900,-,384165251401.0,,69421214900.0,
Sở Kế hoạch và Đầu tư tỉnh Long An (iii),Ứng trước cho Ngân hàng Thương mại > Sở Kế hoạch và Đầu tư tỉnh Long An (iii),Sở Kế hoạch và Đầu tư tỉnh Long An (iii),51.241.500.000,-,51.241.500.000,-,51241500000.0,,51241500000.0,
Ủy ban Nhận dân tỉnh Bắc Ninh (iv),Ứng trước cho Ngân hàng Thương mại > Ủy ban Nhận dân tỉnh Bắc Ninh (iv),Ủy ban Nhận dân tỉnh Bắc Ninh (iv),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (v),Ứng trước cho Ngân hàng Thương mại > Phải thu tiền đặt cọc (v),Phải thu tiền đặt cọc (v),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu về lãi cho vay,Ứng trước cho Ngân hàng Thương mại > Phải thu về lãi cho vay,Phải thu về lãi cho vay,123.159.380.292,-,75.971.142.738,-,123159380292.0,,75971142738.0,
Phải thu khác,Ứng trước cho Ngân hàng Thương mại > Phải thu khác,Phải thu khác,38.766.757.379,-,457.408.569.208,-,38766757379.0,,457408569208.0,
Phải thu khác các bên liên quan(Thuyết minh số 30),Ứng trước cho Ngân hàng Thương mại > Phải thu khác các bên liên quan(Thuyết minh số 30),Phải thu khác các bên liên quan(Thuyết minh số 30),867.535.656.321,-,127.513.147.201,-,867535656321.0,,127513147201.0,
TỔNG CỘNG,Ứng trước cho Ngân hàng Thương mại > TỔNG CỘNG,TỔNG CỘNG,2.252.661.317.138,-,1.634.007.650.329,-,2252661317138.0,,1634007650329.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Dịch vụ Kinh Bắc (vi),Dài hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (vi),Công ty Cổ phần Dịch vụ Kinh Bắc (vi),257.425.617.169,-,-,-,257425617169.0,,,
Công ty Cổ phần Đầu tư Láng Hạ (vii),Dài hạn > Công ty Cổ phần Đầu tư Láng Hạ (vii),Công ty Cổ phần Đầu tư Láng Hạ (vii),168.463.936.017,-,-,-,168463936017.0,,,
Công ty Cổ phần Địa ốc Viễn Đông Việt Nam,Dài hạn > Công ty Cổ phần Địa ốc Viễn Đông Việt Nam,Công ty Cổ phần Địa ốc Viễn Đông Việt Nam,500.000.000,-,500.000.000,-,500000000.0,,500000000.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,524.691.499,-,345.869.861,-,524691499.0,,345869861.0,
Phải thu khác các bên liên quan(Thuyết minh số 30),Dài hạn > Phải thu khác các bên liên quan(Thuyết minh số 30),Phải thu khác các bên liên quan(Thuyết minh số 30),1.418.219.178,-,40.000.000.000,-,1418219178.0,,40000000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,428.332.463.863,-,40.845.869.861,-,428332463863.0,,40845869861.0,
