row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: VND > Năm nay > 952.574.832.301,Đơn vị tính: VND > Năm trước > 897.934.323.991,numeric__Đơn vị tính: VND > Năm nay > 952.574.832.301,numeric__Đơn vị tính: VND > Năm trước > 897.934.323.991
Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,171.529.617.720,95.781.131.624,171529617720.0,95781131624.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,(18.750.000.000),(38.550.000.000),-18750000000.0,-38550000000.0
Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,1.175.000.000.000,-,1175000000000.0,
Giảm khác,Giảm khác,Giảm khác,-,(2.590.623.314),,-2590623314.0
Số cuối năm,Số cuối năm,Số cuối năm,2.280.354.450.021,952.574.832.301,2280354450021.0,952574832301.0
