row_label_raw,row_label_full,Ông Đăng Thành Tâm,Chủ tịch Hội đồng Quản trị,col_2,numeric__Chủ tịch Hội đồng Quản trị,numeric__col_2
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Thành viên,,,
Ông Huỳnh Phát,Ông Huỳnh Phát,Ông Huỳnh Phát,Thành viên,,,
Ông Lê Hoàng Lân,Ông Lê Hoàng Lân,Ông Lê Hoàng Lân,Thành viên độc lập,Bổ nhiệm ngày 10 tháng 2 năm 2022,,
Bà Đặng Nguyễn Quỳnh Anh,Bà Đặng Nguyễn Quỳnh Anh,Bà Đặng Nguyễn Quỳnh Anh,Thành viên,Bổ nhiệm ngày 10 tháng 2 năm 2022,,
Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Thành viên,Miễn nhiệm ngày 10 tháng 2 năm 2022,,
Ông Nguyễn Vĩnh Thọ,Ông Nguyễn Vĩnh Thọ,Ông Nguyễn Vĩnh Thọ,Thành viên,Miễn nhiệm ngày 10 tháng 2 năm 2022,,
