row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bắc Ninh > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Khu công nghiệp Quế Võ > Ngân hàng TMCP Tiên Phong > Ngân hàng TMCP Đại chúng Việt Nam,Số cuối năm > 66.870.401.121 > 241.129.200.451 > 26.721.000.106 > 141.754.003.900 > 2.194.700.000.000,"Lãi suất > 9,5%/năm > 10%/năm > 9,5%/năm > 10% - 11,3%/năm > 11,5%/năm","Kỳ hạn trả gốc và lãi > Gốc vay trả 6 tháng một lần kể từ ngày nhận nợ. Ngày trả nợ cuối cùng là ngày 1 tháng 12 năm 2022; Lãi vay trả 3 tháng một lần. > Gốc vay trả 6 tháng một lần kể từ ngày nhận nợ. Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022; Lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc vay trả 6 tháng một lần kể từ ngày nhận nợ. Ngày trả nợ cuối cùng là ngày 30 tháng 7 năm 2026; Gốc trả 6 tháng 1 lần, lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc vay trả trong vòng 6 năm từ ngày giải ngân đầu tiên (tháng 7 năm 2020). Thời gian ăn hạn gốc là 12 tháng kể từ ngày giải ngân đầu tiên. Lãi vay trả vào ngày 26 hàng tháng. > Gốc vay trả từ năm thứ 4 tới năm thứ 10 từ ngày giải ngân đầu tiên vào tháng 12 năm 2020. Thời gian trả lãi từ năm thứ 6 tới năm thứ 10 từ ngày giải ngân đầu tiên.","Hình thức đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ máy móc thiết bị, công cụ dụng cụ, động sản, phương tiện vận tải và máy móc thiết bị khác hình thành trong tương lai phục vụ cho Dự án Nhà máy xử lý nước sạch công suất 19.000m3 tại khu Nam Son Hạp Lĩnh và toàn bộ lợi tức, các khoản phải thu được từ việc kinh doanh... gắn liền với đất hoặc từ việc đầu tư kinh doanh, khai thác, quản phí, phát triển dự án Nhà máy xử lý nước sạch công suất 19.000m3. > Quyền sử dụng đất và tài sản hình thành trên đất của các lô đất chưa bán thuộc Dự án đầu tư xây dựng Khu Đô thị Dịch vụ - Thương mại và nhà ở công nhân Tràng Duệ. > Các tài sản liên quan đến Dự án Tràng Cát như được trình bày tại Thuyết minh số 10.",numeric__Số cuối năm > 66.870.401.121 > 241.129.200.451 > 26.721.000.106 > 141.754.003.900 > 2.194.700.000.000,"numeric__Lãi suất > 9,5%/năm > 10%/năm > 9,5%/năm > 10% - 11,3%/năm > 11,5%/năm","numeric__Kỳ hạn trả gốc và lãi > Gốc vay trả 6 tháng một lần kể từ ngày nhận nợ. Ngày trả nợ cuối cùng là ngày 1 tháng 12 năm 2022; Lãi vay trả 3 tháng một lần. > Gốc vay trả 6 tháng một lần kể từ ngày nhận nợ. Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022; Lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc vay trả 6 tháng một lần kể từ ngày nhận nợ. Ngày trả nợ cuối cùng là ngày 30 tháng 7 năm 2026; Gốc trả 6 tháng 1 lần, lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc vay trả trong vòng 6 năm từ ngày giải ngân đầu tiên (tháng 7 năm 2020). Thời gian ăn hạn gốc là 12 tháng kể từ ngày giải ngân đầu tiên. Lãi vay trả vào ngày 26 hàng tháng. > Gốc vay trả từ năm thứ 4 tới năm thứ 10 từ ngày giải ngân đầu tiên vào tháng 12 năm 2020. Thời gian trả lãi từ năm thứ 6 tới năm thứ 10 từ ngày giải ngân đầu tiên.","numeric__Hình thức đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ máy móc thiết bị, công cụ dụng cụ, động sản, phương tiện vận tải và máy móc thiết bị khác hình thành trong tương lai phục vụ cho Dự án Nhà máy xử lý nước sạch công suất 19.000m3 tại khu Nam Son Hạp Lĩnh và toàn bộ lợi tức, các khoản phải thu được từ việc kinh doanh... gắn liền với đất hoặc từ việc đầu tư kinh doanh, khai thác, quản phí, phát triển dự án Nhà máy xử lý nước sạch công suất 19.000m3. > Quyền sử dụng đất và tài sản hình thành trên đất của các lô đất chưa bán thuộc Dự án đầu tư xây dựng Khu Đô thị Dịch vụ - Thương mại và nhà ở công nhân Tràng Duệ. > Các tài sản liên quan đến Dự án Tràng Cát như được trình bày tại Thuyết minh số 10."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.671.174.605.578,,,,2671174605578.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,364.970.271.516,,,,364970271516.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,2.306.204.334.062,,,,2306204334062.0,,,
