row_label_raw,row_label_full,col_0,Thuyết minh số,Số cuối năm,Đơn vị tính: VND,numeric__Thuyết minh số,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,15.1,1.484.295.149.429,234.988.852.857,151.0,1484295149429.0,234988852857.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,15.2,438.500.200.000,448.500.200.000,152.0,438500200000.0,448500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(22.887.918.150),(22.887.918.150),,-22887918150.0,-22887918150.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,1.899.907.431.279,660.601.134.707,,1899907431279.0,660601134707.0
