row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năngtrả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn ngân hàngđến hạn trả(Thuyết minh số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàngđến hạn trả(Thuyết minh số 20.1),Vay dài hạn ngân hàngđến hạn trả(Thuyết minh số 20.1),170.574.660.801,170.574.660.801,224.970.271.516,(30.574.660.801),364.970.271.516,364.970.271.516,170574660801.0,170574660801.0,224970271516.0,-30574660801.0,364970271516.0,364970271516.0
Trái phiếu dài hạn đếnhạn trả(Thuyết minh số 20.2),Vay ngắn hạn > Trái phiếu dài hạn đếnhạn trả(Thuyết minh số 20.2),Trái phiếu dài hạn đếnhạn trả(Thuyết minh số 20.2),895.306.969.696,895.306.969.696,724.073.450.507,(823.152.086.867),796.228.333.336,796.228.333.336,895306969696.0,895306969696.0,724073450507.0,-823152086867.0,796228333336.0,796228333336.0
Vay các bên liên quan(Thuyết minh số 30),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),19.000.000.000,19.000.000.000,1.066.368.296.043,(836.471.000.000),248.897.296.043,248.897.296.043,19000000000.0,19000000000.0,1066368296043.0,-836471000000.0,248897296043.0,248897296043.0
Vay đối tượng khác(Thuyết minh số 20.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 20.3),Vay đối tượng khác(Thuyết minh số 20.3),461.800.000.000,461.800.000.000,151.000.000.000,(507.800.000.000),105.000.000.000,105.000.000.000,461800000000.0,461800000000.0,151000000000.0,-507800000000.0,105000000000.0,105000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.546.681.630.497,1.546.681.630.497,2.166.412.018.066,(2.197.997.747.668),1.515.095.900.895,1.515.095.900.895,1546681630497.0,1546681630497.0,2166412018066.0,-2197997747668.0,1515095900895.0,1515095900895.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),3.070.781.798.200,3.070.781.798.200,185.968.824.796,(950.546.288.934),2.306.204.334.062,2.306.204.334.062,3070781798200.0,3070781798200.0,185968824796.0,-950546288934.0,2306204334062.0,2306204334062.0
Trái phiếu phát hành(Thuyết minh số 20.2),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 20.2),Trái phiếu phát hành(Thuyết minh số 20.2),1.051.444.411.158,1.051.444.411.158,3.363.520.765.695,(1.181.905.595.456),3.233.059.581.397,3.233.059.581.397,1051444411158.0,1051444411158.0,3363520765695.0,-1181905595456.0,3233059581397.0,3233059581397.0
Vay các bên liên quan(Thuyết minh số 30),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),30.000.000.000,30.000.000.000,10.000.000.000,(40.000.000.000),-,-,30000000000.0,30000000000.0,10000000000.0,-40000000000.0,,
Vay đối tượng khác(Thuyết minh số 20.3),Vay dài hạn > Vay đối tượng khác(Thuyết minh số 20.3),Vay đối tượng khác(Thuyết minh số 20.3),65.935.378.567,65.935.378.567,-,(65.935.378.567),-,-,65935378567.0,65935378567.0,,-65935378567.0,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.218.161.587.925,4.218.161.587.925,3.559.489.590.491,(2.238.387.262.957),5.539.263.915.459,5.539.263.915.459,4218161587925.0,4218161587925.0,3559489590491.0,-2238387262957.0,5539263915459.0,5539263915459.0
