row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,354.805.247.250,402.039.426.599,25.348.313.353,7.725.281.898,789.918.269.100,354805247250.0,402039426599.0,25348313353.0,7725281898.0,789918269100.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,375.629.001,39.414.725.375,-,-,39.790.354.376,375629001.0,39414725375.0,,,39790354376.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,9.607.573.532,31.165.553.697,287.272.727,422.660.000,41.483.059.956,9607573532.0,31165553697.0,287272727.0,422660000.0,41483059956.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,(514.052.531),(4.386.622.317),-,-,(4.900.674.848),-514052531.0,-4386622317.0,,,-4900674848.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(217.454.684),(44.124.294.693),(2.096.773.624),-,(46.438.523.001),-217454684.0,-44124294693.0,-2096773624.0,,-46438523001.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(5.853.989.162),(223.142.857),(538.405.100),-,(6.615.537.119),-5853989162.0,-223142857.0,-538405100.0,,-6615537119.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,358.202.953.406,423.885.645.804,23.000.407.356,8.147.941.898,813.236.948.464,358202953406.0,423885645804.0,23000407356.0,8147941898.0,813236948464.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,81.436.082.120,162.693.473.772,13.391.505.226,3.969.825.925,261.490.887.043,81436082120.0,162693473772.0,13391505226.0,3969825925.0,261490887043.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(243.314.859.202),(289.522.740.163),(19.780.645.314),(4.499.152.052),(557.117.396.731),-243314859202.0,-289522740163.0,-19780645314.0,-4499152052.0,-557117396731.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(10.018.599.601),(19.950.992.843),(1.395.472.104),(476.722.699),(31.841.787.247),-10018599601.0,-19950992843.0,-1395472104.0,-476722699.0,-31841787247.0
Xóa số,Giá trị khấu hao lũy kế: > Xóa số,Xóa số,302.725.421,2.838.917.977,-,-,3.141.643.398,302725421.0,2838917977.0,,,3141643398.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,215.648.481,36.891.376.771,2.229.467.309,-,39.336.492.561,215648481.0,36891376771.0,2229467309.0,,39336492561.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,5.853.989.162,223.142.857,538.405.100,-,6.615.537.119,5853989162.0,223142857.0,538405100.0,,6615537119.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(246.961.095.739),(269.520.295.401),(18.408.245.009),(4.975.874.751),(539.865.510.900),-246961095739.0,-269520295401.0,-18408245009.0,-4975874751.0,-539865510900.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,111.490.388.048,112.516.686.436,5.567.668.039,3.226.129.846,232.800.872.369,111490388048.0,112516686436.0,5567668039.0,3226129846.0,232800872369.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,111.241.857.667,154.365.350.403,4.592.162.347,3.172.067.147,273.371.437.564,111241857667.0,154365350403.0,4592162347.0,3172067147.0,273371437564.0
