row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lỗ lũy kế,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lỗ lũy kế,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019:,,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019: > Số đầu năm,Số đầu năm,2.146.078.400.000,63.607.862.467,(552.965.000),17.170.909.622,8.963.110,(2.122.043.393.492),(84.588.425.197),19.681.351.510,2146078400000.0,63607862467.0,-552965000.0,17170909622.0,8963110.0,-2122043393492.0,-84588425197.0,19681351510.0
Phát hành cổ phiếu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019: > Phát hành cổ phiếu,Phát hành cổ phiếu,965.904.620.000,(620.383.493.313),-,-,-,-,5.525.000.000,351.046.126.687,965904620000.0,-620383493313.0,,,,,5525000000.0,351046126687.0
Lỗ thuần trong kỳ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019: > Lỗ thuần trong kỳ,Lỗ thuần trong kỳ,-,-,-,-,-,(897.031.635.576),(105.556.818.928),(1.002.588.454.504),,,,,,-897031635576.0,-105556818928.0,-1002588454504.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019: > Số cuối năm,Số cuối năm,3.111.983.020.000,(556.775.630.846),(552.965.000),17.170.909.622,8.963.110,(3.019.075.029.068),(184.620.244.125),(631.860.976.307),3111983020000.0,-556775630846.0,-552965000.0,17170909622.0,8963110.0,-3019075029068.0,-184620244125.0,-631860976307.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Số đầu năm,Số đầu năm,3.111.983.020.000,(556.775.630.846),(552.965.000),17.170.909.622,8.963.110,(3.019.075.029.068),(184.620.244.125),(631.860.976.307),3111983020000.0,-556775630846.0,-552965000.0,17170909622.0,8963110.0,-3019075029068.0,-184620244125.0,-631860976307.0
Phát hành cổ phiếu quỹ (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Phát hành cổ phiếu quỹ (*),Phát hành cổ phiếu quỹ (*),-,27.458.923.936,23.746.974.660,-,-,-,-,51.205.898.596,,27458923936.0,23746974660.0,,,,,51205898596.0
Nhận bồi thường bằng cổ phiếu (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Nhận bồi thường bằng cổ phiếu (*),Nhận bồi thường bằng cổ phiếu (*),-,-,(33.704.774.370),-,-,-,-,(33.704.774.370),,,-33704774370.0,,,,,-33704774370.0
Góp vốn,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Góp vốn,Góp vốn,-,-,-,-,-,-,29.400.000.000,29.400.000.000,,,,,,,29400000000.0,29400000000.0
Giao dịch với cổ đông không kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(55.273.145.487),37.232.077.142,(18.041.068.345),,,,,,-55273145487.0,37232077142.0,-18041068345.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,30.538.502.901,(12.425.629.679),18.112.873.222,,,,,,30538502901.0,-12425629679.0,18112873222.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Số cuối năm,Số cuối năm,3.111.983.020.000,(529.316.706.910),(10.510.764.710),17.170.909.622,8.963.110,(3.043.809.671.654),(130.413.796.662),(584.888.047.204),3111983020000.0,-529316706910.0,-10510764710.0,17170909622.0,8963110.0,-3043809671654.0,-130413796662.0,-584888047204.0
