row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Lãi cho vay,324.916.773,756.855.551,,,324916773.0,756855551.0
Ông Mai Hữu Tín,Phải thu ngắn hạn khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chủ tịch Hội đồng quản trị,Chi hộ,227.380.995,254.749.991,,,227380995.0,254749991.0
Công ty Cổ phần Bao bì Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Chi hộ,65.303.700,59.803.700,,,65303700.0,59803700.0
Ông Nguyễn Trọng Hiếu,Phải thu ngắn hạn khác > Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Tổng Giám Đốc,Chi hộ,1.680.000,-,,,1680000.0,
,,,,,619.281.468,1.071.409.242,,,619281468.0,1071409242.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Mua hàng,1.730.935.076,1.730.935.076,,,1730935076.0,1730935076.0
Công ty Cổ phần Đồng Tâm,Phải trả người bán ngắn hạn > Công ty Cổ phần Đồng Tâm,Công ty Cổ phần Đồng Tâm,Công ty mẹ của cổ đông lớn,Mua hàng,88.000.000,88.000.000,,,88000000.0,88000000.0
Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Phải trả người bán ngắn hạn > Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Công ty mẹ của cổ đông lớn,Mua hàng,44.000.000,85.217.000,,,44000000.0,85217000.0
Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Phải trả người bán ngắn hạn > Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Công ty cùng Tập đoàn với cổ đông lớn,Mua hàng,4.492.840,300.005.379,,,4492840.0,300005379.0
Công ty Cổ phần Đồng Tâm Dotalia,Phải trả người bán ngắn hạn > Công ty Cổ phần Đồng Tâm Dotalia,Công ty Cổ phần Đồng Tâm Dotalia,Công ty cùng Tập đoàn với cổ đông lớn,Mua hàng,-,400.239.400,,,,400239400.0
,,,,,1.867.427.916,2.604.396.855,,,1867427916.0,2604396855.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
"OJI Paper Co., Ltd.","Chi phí phải trả ngắn hạn > OJI Paper Co., Ltd.","OJI Paper Co., Ltd.",Công ty cùng liên doanh vào OJI,Bồi thường,46.380.000.000,46.460.000.000,,,46380000000.0,46460000000.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Ông Mai Hữu Tín,Phải trả khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chủ Tịch,Khác,2.000.000.000,880.000,,,2000000000.0,880000.0
Ông Lê Minh Ngọc,Phải trả khác > Ông Lê Minh Ngọc,Ông Lê Minh Ngọc,Phó Tổng Giám Đốc,Khác,17.930.000,-,,,17930000.0,
,,,,,2.017.930.000,880.000,,,2017930000.0,880000.0
