row_label_raw,row_label_full,Ông Nguyễn Trọng Hiếu,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Lê Minh Ngọc,Ông Lê Minh Ngọc,Ông Lê Minh Ngọc,Phó Tổng Giám đốc,
Ông Mai Thanh Bình,Ông Mai Thanh Bình,Ông Mai Thanh Bình,Giám đốc Tài chính,
