row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu nhân viên,Phải thu nhân viên,Phải thu nhân viên,8.982.868.263,5.007.775.475,8982868263.0,5007775475.0
Lãi cho vay và lãi tiền gửi,Lãi cho vay và lãi tiền gửi,Lãi cho vay và lãi tiền gửi,3.355.822.714,11.599.362.318,3355822714.0,11599362318.0
Cho vay không lãi suất,Cho vay không lãi suất,Cho vay không lãi suất,2.209.371.719,20.329.957.945,2209371719.0,20329957945.0
Khác,Khác,Khác,17.966.725.549,8.480.821.648,17966725549.0,8480821648.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,32.514.788.245,45.417.917.386,32514788245.0,45417917386.0
Dự phòng các khoản phải thu ngắn hạn khác khó đòi,Dự phòng các khoản phải thu ngắn hạn khác khó đòi,Dự phòng các khoản phải thu ngắn hạn khác khó đòi,(10.034.080.645),(18.507.924.050),-10034080645.0,-18507924050.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,22.480.707.600,26.909.993.336,22480707600.0,26909993336.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ bên khác,Trong đó: > Phải thu khác từ bên khác,Phải thu khác từ bên khác,31.895.506.777,44.346.508.144,31895506777.0,44346508144.0
Phải thu khác từ bên liên quan (TM số 33),Trong đó: > Phải thu khác từ bên liên quan (TM số 33),Phải thu khác từ bên liên quan (TM số 33),619.281.468,1.071.409.242,619281468.0,1071409242.0
