row_label_raw,row_label_full,col_0,OJI,Viestones,Bao bì,VND Tổng cộng,numeric__OJI,numeric__Viestones,numeric__Bao bì,numeric__VND Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,94.930.473.000,-,2.000.000.000,96.930.473.000,94930473000.0,,2000000000.0,96930473000.0
Góp vốn,Giá trị đầu tư: > Góp vốn,Góp vốn,-,4.200.000.000,-,4.200.000.000,,4200000000.0,,4200000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,94.930.473.000,4.200.000.000,2.000.000.000,101.130.473.000,94930473000.0,4200000000.0,2000000000.0,101130473000.0
"Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:",,,,
Số đầu năm,"Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,(23.123.637.678),-,(2.000.000.000),(25.123.637.678),-23123637678.0,,-2000000000.0,-25123637678.0
"Phần lỗ từ công ty liên doanh, liên kết","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết: > Phần lỗ từ công ty liên doanh, liên kết","Phần lỗ từ công ty liên doanh, liên kết",(4.298.318.403),-,-,(4.298.318.403),-4298318403.0,,,-4298318403.0
Số cuối năm,"Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết: > Số cuối năm",Số cuối năm,(27.421.956.081),-,(2.000.000.000),(29.421.956.081),-27421956081.0,,-2000000000.0,-29421956081.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,71.806.835.322,-,-,71.806.835.322,71806835322.0,,,71806835322.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,67.508.516.919,4.200.000.000,-,71.708.516.919,67508516919.0,4200000000.0,,71708516919.0
