row_label_raw,row_label_full,col_0,Quyền sử dụngđất lâu dài,Quyền sử dụngđất có thời hạn,Phần mềmmáy tính,Tài sản khác,VNDTổng cộng,numeric__Quyền sử dụngđất lâu dài,numeric__Quyền sử dụngđất có thời hạn,numeric__Phần mềmmáy tính,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,88.819.703.057,22.853.085.936,17.730.256.880,130.861.677.873,1458632000.0,88819703057.0,22853085936.0,17730256880.0,130861677873.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,2.625.000.000,55.000.000,2.680.000.000,,,2625000000.0,55000000.0,2680000000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(72.377.453),-,(72.377.453),,,-72377453.0,,-72377453.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,88.819.703.057,25.405.708.483,17.785.256.880,133.469.300.420,1458632000.0,88819703057.0,25405708483.0,17785256880.0,133469300420.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,-,855.790.607,157.259.011,1.013.049.618,,,855790607.0,157259011.0,1013049618.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(2.146.831.367),(5.303.257.529),(10.713.802.309),(18.163.891.205),,-2146831367.0,-5303257529.0,-10713802309.0,-18163891205.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(2.755.750.760),(3.548.101.533),(878.366.124),(7.182.218.417),,-2755750760.0,-3548101533.0,-878366124.0,-7182218417.0
Giảm do thanh lý,Giá trị hao mòn lũy kế: > Giảm do thanh lý,Giảm do thanh lý,-,-,72.377.453,-,72.377.453,,,72377453.0,,72377453.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(4.902.582.127),(8.778.981.609),(11.592.168.433),(25.273.732.169),,-4902582127.0,-8778981609.0,-11592168433.0,-25273732169.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,86.672.871.690,17.549.828.407,7.016.454.571,112.697.786.668,1458632000.0,86672871690.0,17549828407.0,7016454571.0,112697786668.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,83.917.120.930,16.626.726.874,6.193.088.447,108.195.568.251,1458632000.0,83917120930.0,16626726874.0,6193088447.0,108195568251.0
