row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Số cuối năm,Giá trị ghi sổ > Số đầu năm(Trình bày lại),numeric__Giá trị ghi sổ > Số cuối năm,numeric__Giá trị ghi sổ > Số đầu năm(Trình bày lại)
,,,VND,VND,,
Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,,
Tiền và các khoản tương đương tiền,Tài sân tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,80.630.981.005,143.098.383.082,80630981005.0,143098383082.0
"Phải thu khách hàng, phải thu khác","Tài sân tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",52.242.492.879,68.394.588.795,52242492879.0,68394588795.0
Đầu tư tài chính ngắn hạn,Tài sân tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,367.976.000.000,261.505.000.000,367976000000.0,261505000000.0
Đầu tư tài chính dài hạn,Tài sân tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.205.135.718.180,3.035.801.167.729,3205135718180.0,3035801167729.0
Cộng,Tài sân tài chính > Cộng,Cộng,3.705.985.192.064,3.508.799.139.606,3705985192064.0,3508799139606.0
Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,,
Các khoản vay,Cộng nợ tài chính > Các khoản vay,Các khoản vay,109.244.927.200,-,109244927200.0,
Phải trả người bán và phải trả khác,Cộng nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,136.960.882.075,95.434.734.307,136960882075.0,95434734307.0
Chi phí phải trả,Cộng nợ tài chính > Chi phí phải trả,Chi phí phải trả,5.131.676.314,15.033.870.193,5131676314.0,15033870193.0
Cộng,Cộng nợ tài chính > Cộng,Cộng,251.337.485.589,110.468.604.500,251337485589.0,110468604500.0
