row_label_raw,row_label_full,Họ và tên,Chức vụ,Số cuối năm,Số đầu năm,numeric__Chức vụ,numeric__Số cuối năm,numeric__Số đầu năm
Đỗ Hữu Hậu,Đỗ Hữu Hậu,Đỗ Hữu Hậu,Thành viên HĐQT,50.000.000,50.000.000,,50000000.0,50000000.0
Phùng Thị Thu Hương,Phùng Thị Thu Hương,Phùng Thị Thu Hương,Trường Ban Kiểm soát,32.000.000,32.000.000,,32000000.0,32000000.0
Nguyễn Trọng Cường,Nguyễn Trọng Cường,Nguyễn Trọng Cường,Thành viên Ban Kiểm soát,20.000.000,20.000.000,,20000000.0,20000000.0
Bùi Thị Trà,Bùi Thị Trà,Bùi Thị Trà,Thành viên Ban Kiểm soát,23.000.000,23.000.000,,23000000.0,23000000.0
Nguyễn Thế Hùng,Nguyễn Thế Hùng,Nguyễn Thế Hùng,Giám đốc,30.000.000,30.000.000,,30000000.0,30000000.0
