row_label_raw,row_label_full,Chỉ tiêu,Miền Bắc > VND,Miền Trung > VND,Miền Nam > VND,Cộng > VND,numeric__Miền Bắc > VND,numeric__Miền Trung > VND,numeric__Miền Nam > VND,numeric__Cộng > VND
1. Doanh thu thuần,1. Doanh thu thuần,1. Doanh thu thuần,251.033.638.477,9.782.269.092,255.547.077.243,516.362.984.812,251033638477.0,9782269092.0,255547077243.0,516362984812.0
- Kinh doanh ô tô tải vàđầu kéo,- Kinh doanh ô tô tải vàđầu kéo,- Kinh doanh ô tô tải vàđầu kéo,228.301.426.364,9.782.269.092,255.547.077.243,493.630.772.699,228301426364.0,9782269092.0,255547077243.0,493630772699.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,22.732.212.113,-,-,22.732.212.113,22732212113.0,,,22732212113.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,-,-,-,-,,,,
2. Giá vốn,- Doanh thu khác > 2. Giá vốn,2. Giá vốn,203.322.478.858,9.242.023.653,234.587.285.246,447.151.787.757,203322478858.0,9242023653.0,234587285246.0,447151787757.0
- Kinh doanh ô tô tải vàđầu kéo,- Doanh thu khác > - Kinh doanh ô tô tải vàđầu kéo,- Kinh doanh ô tô tải vàđầu kéo,190.644.635.154,9.242.023.653,234.587.285.246,434.473.944.053,190644635154.0,9242023653.0,234587285246.0,434473944053.0
- Kinh doanh BĐS,- Doanh thu khác > - Kinh doanh BĐS,- Kinh doanh BĐS,12.677.843.704,-,-,12.677.843.704,12677843704.0,,,12677843704.0
3. Lợi nhuận gộp,- Doanh thu khác > 3. Lợi nhuận gộp,3. Lợi nhuận gộp,47.711.159.619,540.245.439,20.959.791.997,69.211.197.055,47711159619.0,540245439.0,20959791997.0,69211197055.0
- Kinh doanh ô tô tải vàđầu kéo,- Doanh thu khác > - Kinh doanh ô tô tải vàđầu kéo,- Kinh doanh ô tô tải vàđầu kéo,37.656.791.210,540.245.439,20.959.791.997,59.156.828.646,37656791210.0,540245439.0,20959791997.0,59156828646.0
- Kinh doanh BĐS,- Doanh thu khác > - Kinh doanh BĐS,- Kinh doanh BĐS,10.054.368.409,-,-,10.054.368.409,10054368409.0,,,10054368409.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,-,-,-,-,,,,
4. Lợi nhuận trước thuế,- Hoạt động khác > 4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,219.757.181.971,1.035.466.984,27.050.018.646,247.842.667.600,219757181971.0,1035466984.0,27050018646.0,247842667600.0
- Kinh doanh ô tô tải vàđầu kéo,- Hoạt động khác > - Kinh doanh ô tô tải vàđầu kéo,- Kinh doanh ô tô tải vàđầu kéo,24.166.028.063,1.035.466.984,27.050.018.646,52.251.513.692,24166028063.0,1035466984.0,27050018646.0,52251513692.0
- Kinh doanh BĐS,- Hoạt động khác > - Kinh doanh BĐS,- Kinh doanh BĐS,20.996.525.739,-,-,20.996.525.739,20996525739.0,,,20996525739.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,-,-,-,-,,,,
- LN khác,- Hoạt động khác > - LN khác,- LN khác,174.594.628.169,-,-,174.594.628.169,174594628169.0,,,174594628169.0
