row_label_raw,row_label_full,col_0,Vốn cổ phần cuối năm,Vốn cổ phần cuối năm_1,Vốn cổ phần đầu năm,Vốn cổ phần đầu năm_1,numeric__Vốn cổ phần cuối năm,numeric__Vốn cổ phần cuối năm_1,numeric__Vốn cổ phần đầu năm,numeric__Vốn cổ phần đầu năm_1
,,,VND,%,VND,%,,,,
Công ty Cổ phần Đầu tư Dịch vụ,Công ty Cổ phần Đầu tư Dịch vụ,Công ty Cổ phần Đầu tư Dịch vụ,1.641.385.200.000,"51,06",1.254.893.340.000,"45,67",1641385200000.0,51.06,1254893340000.0,45.67
Tài chính Hoàng Huy,Tài chính Hoàng Huy,Tài chính Hoàng Huy,,,,,,,,
Ông Đỗ Hữu Hạ,Tài chính Hoàng Huy > Ông Đỗ Hữu Hạ,Ông Đỗ Hữu Hạ,-,"0,00",148.000.000.000,"5,39",,0.0,148000000000.0,5.39
Cổ đông khác,Tài chính Hoàng Huy > Cổ đông khác,Cổ đông khác,1.573.096.330.000,"48,94",1.344.547.290.000,"48,94",1573096330000.0,48.94,1344547290000.0,48.94
Cộng,Tài chính Hoàng Huy > Cộng,Cộng,3.214.481.530.000,100,2.747.440.630.000,100,3214481530000.0,100.0,2747440630000.0,100.0
