row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,LNST chưa phân phối,Lợi ích Cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__LNST chưa phân phối,numeric__Lợi ích Cổ đông không kiểm soát,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),2.747.440.630.000,139.270.925.591,(134.681.958.146),19.572.915.034,551.846.672.038,72.652.053.393,3.396.101.237.910,2747440630000.0,139270925591.0,-134681958146.0,19572915034.0,551846672038.0,72652053393.0,3396101237910.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(109.897.625.200),(299.250.000),(110.196.875.200),,,,,-109897625200.0,-299250000.0,-110196875200.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,284.156.103.105,2.195.601.416,286.351.704.521,,,,,284156103105.0,2195601416.0,286351704521.0
Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,-,-,-,-,(812.892.993),(88.592.021),(901.485.014),,,,,-812892993.0,-88592021.0,-901485014.0
Giảm cổ phiếu quỹ,Giảm cổ phiếu quỹ,Giảm cổ phiếu quỹ,-,68.006.054,134.681.958.146,-,-,-,134.749.964.200,,68006054.0,134681958146.0,,,,134749964200.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),2.747.440.630.000,139.338.931.645,-,19.572.915.034,725.292.256.950,74.459.812.788,3.706.104.546.417,2747440630000.0,139338931645.0,,19572915034.0,725292256950.0,74459812788.0,3706104546417.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),137.362.580.000,(137.362.580.000),,-,-,-,-,137362580000.0,-137362580000.0,,,,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,232.769.603.773,3.630.826.727,236.400.430.500,,,,,232769603773.0,3630826727.0,236400430500.0
Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,-,-,-,-,(416.540.660),(45.396.122),(461.936.782),,,,,-416540660.0,-45396122.0,-461936782.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),329.678.320.000,-,-,-,(329.678.320.000),-,-,329678320000.0,,,,-329678320000.0,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.214.481.530.000,1.976.351.645,-,19.572.915.034,627.967.000.063,78.045.243.393,3.942.043.040.135,3214481530000.0,1976351645.0,,19572915034.0,627967000063.0,78045243393.0,3942043040135.0
