row_label_raw,row_label_full,col_0,Căn hộ cho thuê,Tổng cộng,numeric__Căn hộ cho thuê,numeric__Tổng cộng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số đầu năm(Trình bày lại),NGUYÊN GIÁ > Số đầu năm(Trình bày lại),Số đầu năm(Trình bày lại),228.635.696.469,228.635.696.469,228635696469.0,228635696469.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,637.307.023,637.307.023,637307023.0,637307023.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,229.273.003.492,229.273.003.492,229273003492.0,229273003492.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số đầu năm(Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm(Trình bày lại),Số đầu năm(Trình bày lại),13.390.879.685,13.390.879.685,13390879685.0,13390879685.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,8.284.096.568,8.284.096.568,8284096568.0,8284096568.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,21.674.976.253,21.674.976.253,21674976253.0,21674976253.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Số đầu năm(Trình bày lại),GIÁ TRỊ CÒN LẠI > Số đầu năm(Trình bày lại),Số đầu năm(Trình bày lại),215.244.816.784,215.244.816.784,215244816784.0,215244816784.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,207.598.027.239,207.598.027.239,207598027239.0,207598027239.0
