row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Tiền và các khoản tương đương tiền,Số cuối năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,80.630.981.005,-,80.630.981.005,80630981005.0,,80630981005.0
Phải thu khách hàng và phải thu khác,Số cuối năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,52.242.492.879,-,52.242.492.879,52242492879.0,,52242492879.0
Đầu tư tài chính ngắn hạn,Số cuối năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,367.976.000.000,-,367.976.000.000,367976000000.0,,367976000000.0
Đầu tư tài chính dài hạn,Số cuối năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,3.205.135.718.180,3.205.135.718.180,,3205135718180.0,3205135718180.0
Cộng,Số cuối năm > Cộng,Cộng,500.849.473.884,3.205.135.718.180,3.705.985.192.064,500849473884.0,3205135718180.0,3705985192064.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,109.244.927.200,-,109.244.927.200,109244927200.0,,109244927200.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,136.960.882.075,-,136.960.882.075,136960882075.0,,136960882075.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,5.131.676.314,-,5.131.676.314,5131676314.0,,5131676314.0
Cộng,Số cuối năm > Cộng,Cộng,251.337.485.589,-,251.337.485.589,251337485589.0,,251337485589.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,249.511.988.295,3.205.135.718.180,3.454.647.706.475,249511988295.0,3205135718180.0,3454647706475.0
,,,Dưới 1 năm,Từ 1 - 5 năm,Tổng,,,
,,,VND,VND,VND,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,143.098.383.082,-,143.098.383.082,143098383082.0,,143098383082.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,68.394.588.795,-,68.394.588.795,68394588795.0,,68394588795.0
Đầu tư tài chính ngắn hạn,Số đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,261.505.000.000,-,261.505.000.000,261505000000.0,,261505000000.0
Đầu tư tài chính dài hạn,Số đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,3.035.801.167.729,3.035.801.167.729,,3035801167729.0,3035801167729.0
Cộng,Số đầu năm > Cộng,Cộng,472.997.971.877,3.035.801.167.729,3.508.799.139.606,472997971877.0,3035801167729.0,3508799139606.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,95.434.734.307,-,95.434.734.307,95434734307.0,,95434734307.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,15.033.870.193,-,15.033.870.193,15033870193.0,,15033870193.0
Cộng,Số đầu năm > Cộng,Cộng,110.468.604.500,-,110.468.604.500,110468604500.0,,110468604500.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,362.529.367.377,3.035.801.167.729,3.398.330.535.106,362529367377.0,3035801167729.0,3398330535106.0
