row_label_raw,row_label_full,Chỉ tiêu,Miền Bắc VND,Miền Trung VND,Miền Nam VND,Cộng VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Miền Nam VND,numeric__Cộng VND
1. Doanh thu thuần,1. Doanh thu thuần,1. Doanh thu thuần,219.840.718.543,4.204.545.455,381.436.742.563,605.482.006.561,219840718543.0,4204545455.0,381436742563.0,605482006561.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,147.676.425.657,4.204.545.455,381.436.742.563,533.317.713.675,147676425657.0,4204545455.0,381436742563.0,533317713675.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,26.318.147.147,-,-,26.318.147.147,26318147147.0,,,26318147147.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,45.846.145.739,-,-,,45846145739.0,,,
2. Giá vốn,2. Giá vốn,2. Giá vốn,155.513.108.038,3.742.536.454,367.695.974.258,526.951.618.750,155513108038.0,3742536454.0,367695974258.0,526951618750.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,137.655.211.249,3.742.536.454,367.695.974.258,509.093.721.961,137655211249.0,3742536454.0,367695974258.0,509093721961.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,17.857.896.789,-,-,17.857.896.789,17857896789.0,,,17857896789.0
3. Lợi nhuận gộp,3. Lợi nhuận gộp,3. Lợi nhuận gộp,64.327.610.505,462.009.001,13.740.768.305,78.530.387.811,64327610505.0,462009001.0,13740768305.0,78530387811.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,10.021.214.408,462.009.001,13.740.768.305,24.223.991.714,10021214408.0,462009001.0,13740768305.0,24223991714.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,8.460.250.358,-,-,8.460.250.358,8460250358.0,,,8460250358.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,45.846.145.739,-,-,45.846.145.739,45846145739.0,,,45846145739.0
4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,255.011.512.626,553.615.220,50.224.022.612,305.789.150.458,255011512626.0,553615220.0,50224022612.0,305789150458.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,19.408.526.795,553.615.220,50.224.022.612,70.186.164.627,19408526795.0,553615220.0,50224022612.0,70186164627.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,24.091.565.501,-,-,24.091.565.501,24091565501.0,,,24091565501.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,45.846.145.739,-,-,,45846145739.0,,,
- LN khác,- LN khác,- LN khác,165.665.274.591,-,-,165.665.274.591,165665274591.0,,,165665274591.0
