row_label_raw,row_label_full,Khoản mục > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Mã số > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Số liệu năm trước trước điều chỉnh > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Số điều chỉnh > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Số liệu năm trước trình bày lại > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Mã số > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Số liệu năm trước trước điều chỉnh > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Số điều chỉnh > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Số liệu năm trước trình bày lại > Các chỉ tiêu trên Báo cáo kết quả hoạt động kinh doanh hợp nhất
Giá vốn hàng bán và dịch vụ cung cấp (7),Giá vốn hàng bán và dịch vụ cung cấp (7),Giá vốn hàng bán và dịch vụ cung cấp (7),11,526.915.495.060,36.123.690,526.951.618.750,11.0,526915495060.0,36123690.0,526951618750.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,305.825.274.148,(36.123.690),305.789.150.458,50.0,305825274148.0,-36123690.0,305789150458.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,286.387.828.211,(36.123.690),286.351.704.521,60.0,286387828211.0,-36123690.0,286351704521.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,284.192.226.795,(36.123.690),284.156.103.105,61.0,284192226795.0,-36123690.0,284156103105.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,2.195.601.416,,2.195.601.416,62.0,2195601416.0,,2195601416.0
Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất,Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất,Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất,Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất,Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất,Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất,Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất,,,,
Lợi nhuận trước thuế,Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,305.825.274.148,(36.123.690),305.789.150.458,1.0,305825274148.0,-36123690.0,305789150458.0
"Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Các chỉ tiêu trên Báo cáo lưu chuyển tiền tệ hợp nhất > Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,17.185.939.853,36.123.690,17.222.063.543,11.0,17185939853.0,36123690.0,17222063543.0
