row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,516.362.984.812,607.591.097.470,1.0,,516362984812.0,607591097470.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,2.109.090.909,2.0,,,2109090909.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),10,24,516.362.984.812,605.482.006.561,10.0,24.0,516362984812.0,605482006561.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,25,447.151.787.757,526.951.618.750,11.0,25.0,447151787757.0,526951618750.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),20,,69.211.197.055,78.530.387.811,20.0,,69211197055.0,78530387811.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,20.031.519.466,75.240.057.974,21.0,27.0,20031519466.0,75240057974.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,,1.885.949.714,10.651.096,22.0,,1885949714.0,10651096.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,1.053.313.687,-,23.0,,1053313687.0,
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,5,169.334.550.451,163.205.804.763,24.0,5.0,169334550451.0,163205804763.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,,5.749.197.362,5.461.994.033,25.0,,5749197362.0,5461994033.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,,8.359.530.014,8.173.924.789,26.0,,8359530014.0,8173924789.0
11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,242.582.589.882,303.329.680.630,30.0,,242582589882.0,303329680630.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,5.274.377.718,2.494.494.505,31.0,,5274377718.0,2494494505.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,14.300.000,35.024.677,32.0,,14300000.0,35024677.0
14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),40,,5.260.077.718,2.459.469.828,40.0,,5260077718.0,2459469828.0
15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,247.842.667.600,305.789.150.458,50.0,,247842667600.0,305789150458.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,28,11.502.299.789,19.971.402.445,51.0,28.0,11502299789.0,19971402445.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,(60.062.689),(533.956.508),52.0,,-60062689.0,-533956508.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51),60,,236.400.430.500,286.351.704.521,60.0,,236400430500.0,286351704521.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,232.769.603.773,284.156.103.105,61.0,,232769603773.0,284156103105.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,3.630.826.727,2.195.601.416,62.0,,3630826727.0,2195601416.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,29,724,906,70.0,29.0,724.0,906.0
