row_label_raw,row_label_full,Khoản mục,Mã số,Ngày 31/12/2020 trước điều chỉnh,Số điều chỉnh,Ngày 31/12/2020 trình bày lại,numeric__Mã số,numeric__Ngày 31/12/2020 trước điều chỉnh,numeric__Số điều chỉnh,numeric__Ngày 31/12/2020 trình bày lại
,,,,VND,VND,VND,,,,
Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất,,,,
Hàng tồn kho (1),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Hàng tồn kho (1),Hàng tồn kho (1),141,146.229.132.873,(29.207.475.258),117.021.657.615,141.0,146229132873.0,-29207475258.0,117021657615.0
Tài sản cố định hữu hình (2),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Tài sản cố định hữu hình (2),Tài sản cố định hữu hình (2),221,22.697.358.141,1.811.947.175,24.509.305.316,221.0,22697358141.0,1811947175.0,24509305316.0
- Nguyên giá,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > - Nguyên giá,- Nguyên giá,222,35.766.905.053,1.811.947.175,37.578.852.228,222.0,35766905053.0,1811947175.0,37578852228.0
- Giá trị hao mòn lũy kế,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(13.069.546.912),-,(13.069.546.912),223.0,-13069546912.0,,-13069546912.0
Bất động sản đầu tư (3),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Bất động sản đầu tư (3),Bất động sản đầu tư (3),230,218.519.542.508,(3.274.725.724),215.244.816.784,230.0,218519542508.0,-3274725724.0,215244816784.0
- Nguyên giá,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > - Nguyên giá,- Nguyên giá,231,232.099.699.345,(3.464.002.876),228.635.696.469,231.0,232099699345.0,-3464002876.0,228635696469.0
- Giá trị hao mòn lũy kế,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,(13.580.156.837),189.277.152,(13.390.879.685),232.0,-13580156837.0,189277152.0,-13390879685.0
Chi phí xây dựng cơ bản dở dang (4),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Chi phí xây dựng cơ bản dở dang (4),Chi phí xây dựng cơ bản dở dang (4),242,2.128.409.091,12.812.573.856,14.940.982.947,242.0,2128409091.0,12812573856.0,14940982947.0
Thuế và các.khoản phải nộp Nhà nước (8),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Thuế và các.khoản phải nộp Nhà nước (8),Thuế và các.khoản phải nộp Nhà nước (8),313,3.232.756.543,(1.093.419.600),2.139.336.943,313.0,3232756543.0,-1093419600.0,2139336943.0
Chi phí phải trả ngắn hạn (5),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Chi phí phải trả ngắn hạn (5),Chi phí phải trả ngắn hạn (5),315,1.266.335.431,13.767.534.762,15.033.870.193,315.0,1266335431.0,13767534762.0,15033870193.0
"Phải trả, phải nộp ngắn hạn khác (8)","Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Phải trả, phải nộp ngắn hạn khác (8)","Phải trả, phải nộp ngắn hạn khác (8)",319,66.362.777.977,5.467.098.000,71.829.875.977,319.0,66362777977.0,5467098000.0,71829875977.0
Lợi nhuận sau thuế chưa phân phối (6),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối (6),Lợi nhuận sau thuế chưa phân phối (6),421,758.183.231.833,(32.890.974.883),725.292.256.950,421.0,758183231833.0,-32890974883.0,725292256950.0
- LNST chưa phân phối lũy kế đến cuối năm trước,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > - LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,473.991.005.038,(32.858.401.192),441.132.603.846,,473991005038.0,-32858401192.0,441132603846.0
- LNST chưa phân phối năm nay,Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > - LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,284.192.226.795,(32.573.691),284.159.653.104,,284192226795.0,-32573691.0,284159653104.0
Lợi ích cổ đông không kiểm soát (6),Các chỉ tiêu trên Bảng cân đối kế toán hợp nhất > Lợi ích cổ đông không kiểm soát (6),Lợi ích cổ đông không kiểm soát (6),429,77.567.731.018,(3.107.918.230),74.459.812.788,429.0,77567731018.0,-3107918230.0,74459812788.0
