row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,802.198.494.179,624.323.250.460,100.0,,802198494179.0,624323250460.0
I. Tiền,I. Tiền,I. Tiền,110,4,80.630.981.005,143.098.383.082,110.0,4.0,80630981005.0,143098383082.0
1. Tiền,1. Tiền,1. Tiền,111,,80.630.981.005,143.098.383.082,111.0,,80630981005.0,143098383082.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,367.976.000.000,261.505.000.000,120.0,5.0,367976000000.0,261505000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,367.976.000.000,261.505.000.000,123.0,,367976000000.0,261505000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,53.665.579.172,68.408.888.795,130.0,,53665579172.0,68408888795.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,43.065.177.378,62.036.439.265,131.0,6.0,43065177378.0,62036439265.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,1.423.086.293,14.300.000,132.0,,1423086293.0,14300000.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,9.177.315.501,6.358.149.530,136.0,7.0,9177315501.0,6358149530.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,8,241.383.767.154,104.181.085.959,140.0,8.0,241383767154.0,104181085959.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,243.136.299.257,117.021.657.615,141.0,,243136299257.0,117021657615.0
