row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,11.466.978.282,134.290.000,4.391.510.991,1.453.642.480,17.446.421.753,11466978282.0,134290000.0,4391510991.0,1453642480.0,17446421753.0
- Mua trong kỳ,Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,-,-,-,159.090.909,159.090.909,,,,159090909.0,159090909.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,11.466.978.282,134.290.000,4.391.510.991,1.612.733.389,17.605.512.662,11466978282.0,134290000.0,4391510991.0,1612733389.0,17605512662.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,11.466.978.282,134.290.000,1.210.739.974,1.410.118.731,14.222.126.987,11466978282.0,134290000.0,1210739974.0,1410118731.0,14222126987.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,-,-,370.294.344,53.847.591,424.141.935,,,370294344.0,53847591.0,424141935.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,11.466.978.282,134.290.000,1.581.034.318,1.463.966.322,14.646.268.922,11466978282.0,134290000.0,1581034318.0,1463966322.0,14646268922.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,-,-,3.180.771.017,43.523.749,3.224.294.766,,,3180771017.0,43523749.0,3224294766.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,-,-,2.810.476.673,148.767.067,2.959.243.740,,,2810476673.0,148767067.0,2959243740.0
