row_label_raw,row_label_full,col_0,col_1,01/01/2022 > Giá trị,01/01/2022 > Dự phòng,Trong kỳ > Tăng,Trong kỳ > Giảm,31/12/2022 > Giá trị,31/12/2022 > Dự phòng,numeric__col_1,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Dự phòng,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Dự phòng
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
a),a),a),Ngắn hạn,,,,,,,,,,,,,
a),a) > a),a),- Các khoản cho pháp nhân vay\( ^{(1)} \),20.530.000.000,-,37.950.000.000,36.100.000.000,22.380.000.000,-,,20530000000.0,,37950000000.0,36100000000.0,22380000000.0,
a),a) > a),a),- Công ty Cổ phần Nông Lâm nghiệp Trường Thành,13.530.000.000,-,-,-,13.530.000.000,-,,13530000000.0,,,,13530000000.0,
a),a) > a),a),- Công ty Cổ phần Sam nông nghiệp Công nghệ cao,7.000.000.000,-,-,-,7.000.000.000,-,,7000000000.0,,,,7000000000.0,
a),a) > a),a),- Công ty Cổ phần Liên doanh Căng Quốc tế Mỹ Thủy,-,-,37.950.000.000,36.100.000.000,1.850.000.000,-,,,,37950000000.0,36100000000.0,1850000000.0,
a),a) > a),a),,20.530.000.000,-,37.950.000.000,36.100.000.000,22.380.000.000,-,,20530000000.0,,37950000000.0,36100000000.0,22380000000.0,
b),b),b),Dải hạn,,,,,,,,,,,,,
b),b) > b),b),- Công ty CP Xuất nhập khẩu Tổng hợp I Việt Nam\( ^{(2)} \),9.616.800.000,-,9.724.500.000,500.000.000,18.841.300.000,-,,9616800000.0,,9724500000.0,500000000.0,18841300000.0,
b),b) > b),b),,9.616.800.000,-,9.724.500.000,500.000.000,18.841.300.000,-,,9616800000.0,,9724500000.0,500000000.0,18841300000.0,
