row_label_raw,row_label_full,Lãi hợp tác đầu tư phải trả,col_1,1.218.054.794,10.827.967.123,numeric__col_1,numeric__1.218.054.794,numeric__10.827.967.123
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,1.218.054.794,-,,1218054794.0,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,10.827.967.123,,,10827967123.0
Nhận nợ vay,Nhận nợ vay,Nhận nợ vay,,321.300.000.000,566.500.000.000,,321300000000.0,566500000000.0
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,63.000.000.000,20.000.000.000,,63000000000.0,20000000000.0
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,-,70.000.000.000,,,70000000000.0
Công ty TNHH Sacom - Chíp Sáng,Công ty TNHH Sacom - Chíp Sáng,Công ty TNHH Sacom - Chíp Sáng,Công ty con,22.000.000.000,32.000.000.000,,22000000000.0,32000000000.0
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con,70.300.000.000,424.500.000.000,,70300000000.0,424500000000.0
Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,150.000.000.000,-,,150000000000.0,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,16.000.000.000,-,,16000000000.0,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,-,20.000.000.000,,,20000000000.0
Trả nợ vay,Trả nợ vay,Trả nợ vay,,649.316.000.000,438.500.000.000,,649316000000.0,438500000000.0
Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,250.000.000.000,-,,250000000000.0,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,800.000.000,-,,800000000.0,
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,68.000.000.000,2.000.000.000,,68000000000.0,2000000000.0
