row_label_raw,row_label_full,col_0,Vốn đầu tư của chú sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chú sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,2.565.045.400.000,-,142.970.000,210.496.811.885,2.775.685.181.885,2565045400000.0,,142970000.0,210496811885.0,2775685181885.0
Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,934.926.500.000,(76.363.636),-,-,934.850.136.364,934926500000.0,-76363636.0,,,934850136364.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,-,129.649.355.922,129.649.355.922,,,,129649355922.0,129649355922.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(926.237.429),(926.237.429),,,,-926237429.0,-926237429.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,1.138.353.324,1.138.353.324,,,,1138353324.0,1138353324.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,3.499.971.900.000,(76.363.636),142.970.000,340.358.283.702,3.840.396.790.066,3499971900000.0,-76363636.0,142970000.0,340358283702.0,3840396790066.0
Số dư đầu kỳ này,Số dư đầu kỳ này,Số dư đầu kỳ này,3.499.971.900.000,(76.363.636),142.970.000,340.358.283.702,3.840.396.790.066,3499971900000.0,-76363636.0,142970000.0,340358283702.0,3840396790066.0
Tăng vốn trong kỳ này (*),Tăng vốn trong kỳ này (*),Tăng vốn trong kỳ này (*),299.637.810.000,,-,(299.637.810.000),-,299637810000.0,,,-299637810000.0,
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,-,-,-,18.308.837.543,18.308.837.543,,,,18308837543.0,18308837543.0
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,3.799.609.710.000,(76.363.636),142.970.000,59.029.311.245,3.858.705.627.609,3799609710000.0,-76363636.0,142970000.0,59029311245.0,3858705627609.0
