row_label_raw,row_label_full,col_0,01/01/2022(Trinh bāy lai) > Giá trị,01/01/2022(Trinh bāy lai) > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,numeric__01/01/2022(Trinh bāy lai) > Giá trị,numeric__01/01/2022(Trinh bāy lai) > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,VND640.269.018.336,VND640.269.018.336,VND907.761.274.358,VND1.069.430.178.415,VND478.600.114.279,VND478.600.114.279,,,,,,
- Công ty TNHH Sacom - Chip Sáng (1),Vay ngắn hạn > - Công ty TNHH Sacom - Chip Sáng (1),- Công ty TNHH Sacom - Chip Sáng (1),20.500.000.000,20.500.000.000,22.000.000.000,-,42.500.000.000,42.500.000.000,20500000000.0,20500000000.0,22000000000.0,,42500000000.0,42500000000.0
- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên (2),Vay ngắn hạn > - Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên (2),- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên (2),288.000.000.000,288.000.000.000,70.300.000.000,277.516.000.000,80.784.000.000,80.784.000.000,288000000000.0,288000000000.0,70300000000.0,277516000000.0,80784000000.0,80784000000.0
- Công ty Cổ phần Chứng khoán Quốc Gia (3),Vay ngắn hạn > - Công ty Cổ phần Chứng khoán Quốc Gia (3),- Công ty Cổ phần Chứng khoán Quốc Gia (3),3.116.482.238,3.116.482.238,12.232.964.476,6.232.964.476,9.116.482.238,9.116.482.238,3116482238.0,3116482238.0,12232964476.0,6232964476.0,9116482238.0,9116482238.0
- Công ty Cổ phần Sacom - Tuyền Lâm (4),Vay ngắn hạn > - Công ty Cổ phần Sacom - Tuyền Lâm (4),- Công ty Cổ phần Sacom - Tuyền Lâm (4),-,-,150.000.000.000,-,150.000.000.000,150.000.000.000,,,150000000000.0,,150000000000.0,150000000000.0
- Công ty TNHH Đầu tư Đại La (5),Vay ngắn hạn > - Công ty TNHH Đầu tư Đại La (5),- Công ty TNHH Đầu tư Đại La (5),-,-,200.000.000.000,91.450.000.000,108.550.000.000,108.550.000.000,,,200000000000.0,91450000000.0,108550000000.0,108550000000.0
- Công ty Cổ phần Phú Hữu Gia (6),Vay ngắn hạn > - Công ty Cổ phần Phú Hữu Gia (6),- Công ty Cổ phần Phú Hữu Gia (6),-,-,16.000.000.000,800.000.000,15.200.000.000,15.200.000.000,,,16000000000.0,800000000.0,15200000000.0,15200000000.0
- Công ty Cổ phần Chứng khoán Thành Công (7),Vay ngắn hạn > - Công ty Cổ phần Chứng khoán Thành Công (7),- Công ty Cổ phần Chứng khoán Thành Công (7),14.089.119.432,14.089.119.432,26.574.843.491,37.053.435.485,3.610.527.438,3.610.527.438,14089119432.0,14089119432.0,26574843491.0,37053435485.0,3610527438.0,3610527438.0
- Công ty Cổ phần Capella Quảng Nam,Vay ngắn hạn > - Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,68.000.000.000,68.000.000.000,-,68.000.000.000,-,-,68000000000.0,68000000000.0,,68000000000.0,,
- Công ty Cổ phần Dây và Cáp Sacom (8),Vay ngắn hạn > - Công ty Cổ phần Dây và Cáp Sacom (8),- Công ty Cổ phần Dây và Cáp Sacom (8),-,-,63.000.000.000,53.000.000.000,10.000.000.000,10.000.000.000,,,63000000000.0,53000000000.0,10000000000.0,10000000000.0
- Công ty TNHH Đầu tư Công trình và Phát triển Công nghệ Future,Vay ngắn hạn > - Công ty TNHH Đầu tư Công trình và Phát triển Công nghệ Future,- Công ty TNHH Đầu tư Công trình và Phát triển Công nghệ Future,-,-,215.000.000.000,215.000.000.000,-,-,,,215000000000.0,215000000000.0,,
- Công ty TNHH Dịch vụ Thương mại Tư vấn Đầu tư Hòa Bình (9),Vay ngắn hạn > - Công ty TNHH Dịch vụ Thương mại Tư vấn Đầu tư Hòa Bình (9),- Công ty TNHH Dịch vụ Thương mại Tư vấn Đầu tư Hòa Bình (9),-,-,12.000.000.000,-,12.000.000.000,12.000.000.000,,,12000000000.0,,12000000000.0,12000000000.0
- Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (10),Vay ngắn hạn > - Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (10),- Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (10),-,-,18.667.278.980,12.309.157.941,6.358.121.039,6.358.121.039,,,18667278980.0,12309157941.0,6358121039.0,6358121039.0
- Công ty Cổ phần Chứng khoán Bản Việt (11),Vay ngắn hạn > - Công ty Cổ phần Chứng khoán Bản Việt (11),- Công ty Cổ phần Chứng khoán Bản Việt (11),-,-,95.549.604.077,58.068.620.513,37.480.983.564,37.480.983.564,,,95549604077.0,58068620513.0,37480983564.0,37480983564.0
- Cá nhân,Vay ngắn hạn > - Cá nhân,- Cá nhân,-,-,3.000.000.000,-,3.000.000.000,3.000.000.000,,,3000000000.0,,3000000000.0,3000000000.0
- Trái phiếu phát hành năm 2021,Vay ngắn hạn > - Trái phiếu phát hành năm 2021,- Trái phiếu phát hành năm 2021,246.563.416.666,246.563.416.666,3.436.583.334,250.000.000.000,-,-,246563416666.0,246563416666.0,3436583334.0,250000000000.0,,
