row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2022 > VND,Năm 2021 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2022 > VND,numeric__Năm 2021 > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,16,4.860.727.272,4.693.000.000,,16.0,4860727272.0,4693000000.0
02,02,02,2. Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,4.860.727.272,4.693.000.000,,,4860727272.0,4693000000.0
11,11,11,4. Giá vốn hàng bán,,-,-,,,,
20,11 > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,4.860.727.272,4.693.000.000,,,4860727272.0,4693000000.0
21,11 > 21,21,6. Doanh thu hoạt động tài chính,17,336.128.368.659,318.262.908.314,,17.0,336128368659.0,318262908314.0
22,11 > 22,22,7. Chi phí tài chính,18,284.676.458.506,145.443.768.988,,18.0,284676458506.0,145443768988.0
23,11 > 23,23,Trong đó: Chi phí lãi vay,,118.578.354.975,91.405.172.917,,,118578354975.0,91405172917.0
25,25,25,8. Chi phí bán hàng,,-,-,,,,
26,25 > 26,26,9. Chi phí quản lý doanh nghiệp,19,32.550.745.362,20.896.611.833,,19.0,32550745362.0,20896611833.0
30,25 > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,23.761.892.063,156.615.527.493,,,23761892063.0,156615527493.0
31,25 > 31,31,11. Thu nhập khác,20,5.166.209.685,416.700.521,,20.0,5166209685.0,416700521.0
32,25 > 32,32,12. Chi phí khác,,23.394.881,-,,,23394881.0,
40,25 > 40,40,13. Lợi nhuận khác,,5.142.814.804,416.700.521,,,5142814804.0,416700521.0
50,25 > 50,50,14. Tổng lợi nhuận kế toán trước thuế,,28.904.706.867,157.032.228.014,,,28904706867.0,157032228014.0
51,25 > 51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,21,10.595.869.324,27.382.872.092,,21.0,10595869324.0,27382872092.0
60,25 > 60,60,16. Lợi nhuận sau thuế thu nhập doanh nghiệp,,18.308.837.543,129.649.355.922,,,18308837543.0,129649355922.0
