row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,,
Tiền,Tại ngày 31/12/2022 > Tiền,Tiền,2.807.581.500,-,-,2.807.581.500,2807581500.0,,,2807581500.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2022 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",73.440.443.330,491.346.810,-,73.931.790.140,73440443330.0,491346810.0,,73931790140.0
Các khoản cho vay,Tại ngày 31/12/2022 > Các khoản cho vay,Các khoản cho vay,22.380.000.000,18.841.300.000,-,41.221.300.000,22380000000.0,18841300000.0,,41221300000.0
,,,98.628.024.830,19.332.646.810,-,117.960.671.640,98628024830.0,19332646810.0,,117960671640.0
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,,,,
Tiền,Tại ngày 01/01/2022 > Tiền,Tiền,323.473.487.394,-,-,323.473.487.394,323473487394.0,,,323473487394.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2022 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",620.800.969.140,1.516.978.880,-,622.317.948.020,620800969140.0,1516978880.0,,622317948020.0
Các khoản cho vay,Tại ngày 01/01/2022 > Các khoản cho vay,Các khoản cho vay,20.530.000.000,9.616.800.000,-,30.146.800.000,20530000000.0,9616800000.0,,30146800000.0
,,,964.804.456.534,11.133.778.880,-,975.938.235.414,964804456534.0,11133778880.0,,975938235414.0
