row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.761.313.312,5.102.910.023,2761313312.0,5102910023.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,837.451.460,2.475.670.753,837451460.0,2475670753.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",416.475.914,282.482.993,416475914.0,282482993.0
Khác,Khác,Khác,1.507.385.938,2.344.756.277,1507385938.0,2344756277.0
Dài hạn,Dài hạn,Dài hạn,14.260.216.699,21.181.986.790,14260216699.0,21181986790.0
Chi phí bảo trì và xây dựng,Chi phí bảo trì và xây dựng,Chi phí bảo trì và xây dựng,8.383.505.647,11.117.159.852,8383505647.0,11117159852.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",3.108.546.894,6.235.472.434,3108546894.0,6235472434.0
Chi phí thuê đất (*),Chi phí thuê đất (*),Chi phí thuê đất (*),1.651.376.023,1.735.720.497,1651376023.0,1735720497.0
Khác,Khác,Khác,1.116.788.135,2.093.634.007,1116788135.0,2093634007.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,17.021.530.011,26.284.896.813,17021530011.0,26284896813.0
