row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,136.521.388.028,224.512.838.938,11.673.498.498,7.710.074.170,380.417.799.634,136521388028.0,224512838938.0,11673498498.0,7710074170.0,380417799634.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,1.148.451.100,4.295.316.946,2.102.344.153,515.380.000,8.061.492.199,1148451100.0,4295316946.0,2102344153.0,515380000.0,8061492199.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,-,-,(468.800.000),-,(468.800.000),,,-468800000.0,,-468800000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,137.669.839.128,228.808.155.884,13.307.042.651,8.225.454.170,388.010.491.833,137669839128.0,228808155884.0,13307042651.0,8225454170.0,388010491833.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,39.376.014.823,13.729.014.730,7.273.533.038,2.409.196.593,62.787.759.184,39376014823.0,13729014730.0,7273533038.0,2409196593.0,62787759184.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(48.977.896.120),(130.388.511.770),(8.174.794.333),(4.544.314.101),(192.085.516.324),-48977896120.0,-130388511770.0,-8174794333.0,-4544314101.0,-192085516324.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(7.450.546.028),(15.897.232.601),(583.028.369),(1.104.138.605),(25.034.945.603),-7450546028.0,-15897232601.0,-583028369.0,-1104138605.0,-25034945603.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,-,-,309.341.669,-,309.341.669,,,309341669.0,,309341669.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(56.428.442.148),(146.285.744.371),(8.448.481.033),(5.648.452.706),(216.811.120.258),-56428442148.0,-146285744371.0,-8448481033.0,-5648452706.0,-216811120258.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,87.543.491.908,94.124.327.168,3.498.704.165,3.165.760.069,188.332.283.310,87543491908.0,94124327168.0,3498704165.0,3165760069.0,188332283310.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,81.241.396.980,82.522.411.513,4.858.561.618,2.577.001.464,171.199.371.575,81241396980.0,82522411513.0,4858561618.0,2577001464.0,171199371575.0
