row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,310.952.976.694,320.390.293.856,310952976694.0,320390293856.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,171.352.976.694,180.790.293.856,171352976694.0,180790293856.0
- Công ty Cổ phần Luux Interior,- Công ty Cổ phần Luux Interior,- Công ty Cổ phần Luux Interior,70.592.179.813,50.000.000.000,70592179813.0,50000000000.0
"- Công ty Cổ phần Vinhomes (""Vinhomes"") (*)","- Công ty Cổ phần Vinhomes (""Vinhomes"") (*)","- Công ty Cổ phần Vinhomes (""Vinhomes"") (*)",14.474.568.827,10.189.343.687,14474568827.0,10189343687.0
- Ông Võ Đình Ngọc,- Ông Võ Đình Ngọc,- Ông Võ Đình Ngọc,11.000.000.000,11.000.000.000,11000000000.0,11000000000.0
- Fourhands LLC,- Fourhands LLC,- Fourhands LLC,9.434.336.803,16.916.868.237,9434336803.0,16916868237.0
- Vinhomes - Chi nhánh Hưng Yên,- Vinhomes - Chi nhánh Hưng Yên,- Vinhomes - Chi nhánh Hưng Yên,2.276.844.784,60.438.119.233,2276844784.0,60438119233.0
- Các khách hàng khác,- Các khách hàng khác,- Các khách hàng khác,63.575.046.467,32.245.962.699,63575046467.0,32245962699.0
Bên liên quan trả tiền trước (TM số 30),Bên liên quan trả tiền trước (TM số 30),Bên liên quan trả tiền trước (TM số 30),139.600.000.000,139.600.000.000,139600000000.0,139600000000.0
Dài hạn,Dài hạn,Dài hạn,1.032.336.527.786,1.032.336.527.786,1032336527786.0,1032336527786.0
Vinhomes (*),Vinhomes (*),Vinhomes (*),1.032.336.527.786,1.032.336.527.786,1032336527786.0,1032336527786.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,1.343.289.504.480,1.352.726.821.642,1343289504480.0,1352726821642.0
