row_label_raw,row_label_full,Công ty Cổ phần Trường Thành,Mua nguyên liệu,146.943.995.581,-,numeric__Mua nguyên liệu,numeric__146.943.995.581,numeric__-
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Mua nguyên liệu,65.865.903.874,-,,65865903874.0,
Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Mua nguyên liệu,1.077.468.626,-,,1077468626.0,
,,,,213.887.368.081,-,,213887368081.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Công ty Cổ phần Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Cho vay,144.551.654.540,144.551.654.540,,144551654540.0,144551654540.0
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Cho vay,118.063.854.139,118.063.854.139,,118063854139.0,118063854139.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay ngắn hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Cho vay,38.064.868.000,35.407.084.000,,38064868000.0,35407084000.0
Công ty Cổ phần Đồ gỗ Casadora,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Cho vay,15.804.000.000,15.804.000.000,,15804000000.0,15804000000.0
Công ty TNHH MTV Sử Thiên Thanh,Phải thu về cho vay ngắn hạn > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Cho vay,15.500.000.000,15.500.000.000,,15500000000.0,15500000000.0
Công ty Cổ phần Lâm nghiệp Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Cho vay,6.600.000.000,-,,6600000000.0,
,,,,338.584.376.679,329.326.592.679,,338584376679.0,329326592679.0
