row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYẾN TIỀN TỪHOẠT ĐỘNG KINH DOANHTổng (lỗ) lợi nhuậnkế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòng (hoànnhập các khoản dự phòng)Lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiềntệ có gốc ngoại tệLỗ (lãi) từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 12, 1325",Năm nay > (71.620.833.230)28.421.830.3687.603.752.996303.366.8246.163.556.81357.546.163.819,Năm trước > 7.484.265.68026.658.272.166(82.136.316.424)925.271.714(9.271.343.892)58.464.249.302,numeric__CHỈ TIÊU > I. LƯU CHUYẾN TIỀN TỪHOẠT ĐỘNG KINH DOANHTổng (lỗ) lợi nhuậnkế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòng (hoànnhập các khoản dự phòng)Lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiềntệ có gốc ngoại tệLỗ (lãi) từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 12, 1325",numeric__Năm nay > (71.620.833.230)28.421.830.3687.603.752.996303.366.8246.163.556.81357.546.163.819,numeric__Năm trước > 7.484.265.68026.658.272.166(82.136.316.424)925.271.714(9.271.343.892)58.464.249.302
08,08,08,Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm (tăng) chỉ phí trả trướcTiền lãi vay đã trả,,28.417.837.590(92.300.022.650)146.178.928.080(74.940.818.199)9.263.366.802-,2.124.398.546(264.776.633.951)249.458.905.524245.136.274.119(26.300.903.827)(3.537.614.671),,,,
09,09,09,Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm (tăng) chỉ phí trả trướcTiền lãi vay đã trả,,28.417.837.590(92.300.022.650)146.178.928.080(74.940.818.199)9.263.366.802-,2.124.398.546(264.776.633.951)249.458.905.524245.136.274.119(26.300.903.827)(3.537.614.671),,,,
10,10,10,Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm (tăng) chỉ phí trả trướcTiền lãi vay đã trả,,28.417.837.590(92.300.022.650)146.178.928.080(74.940.818.199)9.263.366.802-,2.124.398.546(264.776.633.951)249.458.905.524245.136.274.119(26.300.903.827)(3.537.614.671),,,,
11,11,11,Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm (tăng) chỉ phí trả trướcTiền lãi vay đã trả,,28.417.837.590(92.300.022.650)146.178.928.080(74.940.818.199)9.263.366.802-,2.124.398.546(264.776.633.951)249.458.905.524245.136.274.119(26.300.903.827)(3.537.614.671),,,,
12,12,12,Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm (tăng) chỉ phí trả trướcTiền lãi vay đã trả,,28.417.837.590(92.300.022.650)146.178.928.080(74.940.818.199)9.263.366.802-,2.124.398.546(264.776.633.951)249.458.905.524245.136.274.119(26.300.903.827)(3.537.614.671),,,,
14,14,14,Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm (tăng) chỉ phí trả trướcTiền lãi vay đã trả,,28.417.837.590(92.300.022.650)146.178.928.080(74.940.818.199)9.263.366.802-,2.124.398.546(264.776.633.951)249.458.905.524245.136.274.119(26.300.903.827)(3.537.614.671),,,,
20,20,20,"Lưu chuyển tiền thuần từhoạt động kinh doanhII. LƯU CHUYẾN TIỀN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ để mua sắm, xây dựngtài sân cố địnhTiền thu từ thanh lý TSCĐTiền chỉ cho vay và gửi ngânhàng có kỳ hạnThu hồi tiền gửi ngân hàng cókỳ hạn và tiền cho vayTiền chỉ đầu tư góp vốn vảoddơn vị khácTiền thu hồi đầu tư góp vốn vảoddơn vị khácTiền thu lãi tiền gửi và cho vay",,16.619.291.623(365.866.514.032)-(64.249.858.555)40.070.323.794-4.200.000.0006.986.552.059,202.104.425.740(69.378.043.770)3.561.560.000(70.491.736.800)117.617.800.571(288.728.883.370)-6.326.289.211,,,,
21,21,21,"Lưu chuyển tiền thuần từhoạt động kinh doanhII. LƯU CHUYẾN TIỀN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ để mua sắm, xây dựngtài sân cố địnhTiền thu từ thanh lý TSCĐTiền chỉ cho vay và gửi ngânhàng có kỳ hạnThu hồi tiền gửi ngân hàng cókỳ hạn và tiền cho vayTiền chỉ đầu tư góp vốn vảoddơn vị khácTiền thu hồi đầu tư góp vốn vảoddơn vị khácTiền thu lãi tiền gửi và cho vay",,16.619.291.623(365.866.514.032)-(64.249.858.555)40.070.323.794-4.200.000.0006.986.552.059,202.104.425.740(69.378.043.770)3.561.560.000(70.491.736.800)117.617.800.571(288.728.883.370)-6.326.289.211,,,,
22,22,22,"Lưu chuyển tiền thuần từhoạt động kinh doanhII. LƯU CHUYẾN TIỀN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ để mua sắm, xây dựngtài sân cố địnhTiền thu từ thanh lý TSCĐTiền chỉ cho vay và gửi ngânhàng có kỳ hạnThu hồi tiền gửi ngân hàng cókỳ hạn và tiền cho vayTiền chỉ đầu tư góp vốn vảoddơn vị khácTiền thu hồi đầu tư góp vốn vảoddơn vị khácTiền thu lãi tiền gửi và cho vay",,16.619.291.623(365.866.514.032)-(64.249.858.555)40.070.323.794-4.200.000.0006.986.552.059,202.104.425.740(69.378.043.770)3.561.560.000(70.491.736.800)117.617.800.571(288.728.883.370)-6.326.289.211,,,,
23,23,23,"Lưu chuyển tiền thuần từhoạt động kinh doanhII. LƯU CHUYẾN TIỀN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ để mua sắm, xây dựngtài sân cố địnhTiền thu từ thanh lý TSCĐTiền chỉ cho vay và gửi ngânhàng có kỳ hạnThu hồi tiền gửi ngân hàng cókỳ hạn và tiền cho vayTiền chỉ đầu tư góp vốn vảoddơn vị khácTiền thu hồi đầu tư góp vốn vảoddơn vị khácTiền thu lãi tiền gửi và cho vay",,16.619.291.623(365.866.514.032)-(64.249.858.555)40.070.323.794-4.200.000.0006.986.552.059,202.104.425.740(69.378.043.770)3.561.560.000(70.491.736.800)117.617.800.571(288.728.883.370)-6.326.289.211,,,,
