row_label_raw,row_label_full,col_0,Cổ phiếu phổ thôngcó quyền biểu quyết,Cổ phiếu ưu đãi,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lỗ lũy kế,Tổng cộng,numeric__Cổ phiếu phổ thôngcó quyền biểu quyết,numeric__Cổ phiếu ưu đãi,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số đầu năm,Số đầu năm,3.111.983.020.000,1.000.000.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.034.091.597.541),575.803.426.136,3111983020000.0,1000000000000.0,-517711506620.0,-552965000.0,16176475297.0,-3034091597541.0,575803426136.0
Chuyển đổi cổ phiếu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Chuyển đổi cổ phiếu,Chuyển đổi cổ phiếu,823.500.000.000,(823.500.000.000),-,-,-,-,-,823500000000.0,-823500000000.0,,,,,
Lợi nhuận thuầntrong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,5.644.486.654,5.644.486.654,,,,,,5644486654.0,5644486654.0
Cổ tức cổ phiếu ưu đãi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,-,-,-,-,(21.180.000.000),(21.180.000.000),,,,,,-21180000000.0,-21180000000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.049.627.110.887),560.267.912.790,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3049627110887.0,560267912790.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số đầu năm,Số đầu năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.049.627.110.887),560.267.912.790,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3049627110887.0,560267912790.0
Lỗ thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(103.505.462.042),(103.505.462.042),,,,,,-103505462042.0,-103505462042.0
Cổ tức cổ phiếu ưu đãi (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Cổ tức cổ phiếu ưu đãi (*),Cổ tức cổ phiếu ưu đãi (*),-,-,-,-,-,(21.484.602.739),(21.484.602.739),,,,,,-21484602739.0,-21484602739.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.174.617.175.668),435.277.848.009,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3174617175668.0,435277848009.0
