row_label_raw,row_label_full,Tên khách hàng,VND Số tiền,numeric__VND Số tiền
Ashleyfurniture (Citigroup Limited),Ashleyfurniture (Citigroup Limited),Ashleyfurniture (Citigroup Limited),64.874.410.500,64874410500.0
Pier 1 Imports (Us) Inc.,Pier 1 Imports (Us) Inc.,Pier 1 Imports (Us) Inc.,56.538.863.457,56538863457.0
Gme - Sanitaires Et Materiaux - Lapeyre,Gme - Sanitaires Et Materiaux - Lapeyre,Gme - Sanitaires Et Materiaux - Lapeyre,53.068.668.227,53068668227.0
Khác,Khác,Khác,173.368.648.576,173368648576.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,347.850.590.760,347850590760.0
