row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Cho mượnLãi cho vayChi hộ,-1.108.458.686-,54.386.798.25616.958.870.243338.200.790,,,5.438679825616959e+30
Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành – Ea H’leo,Phải thu ngắn hạn khác > Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành – Ea H’leo,Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành – Ea H’leo,Cho mượn,24.928.379.364,24.928.379.364,,24928379364.0,24928379364.0
Công ty Cổ phần Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Lãi cho vayCho mượnChi hộ,1.291.158.372311.313.79965.198.000,18.540.646.105272.002.10669.906.000,,1.2911583723113138e+26,1.8540646105272002e+27
Công ty Cổ phần Đồ gỗ Casadora,Phải thu ngắn hạn khác > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Lãi cho vayKhác,4.563.539.7213.053.912.870,3.958.296.829-,,4.563539721305391e+19,
Công ty TNHH MTV Sử Thiên Thanh,Phải thu ngắn hạn khác > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Lãi cho vayCho vay,6.232.783.573148.500.000,2.575.783.569148.500.000,,6.2327835731485e+18,2.5757835691485e+18
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Lãi cho vay,868.424.246,746.799.374,,868424246.0,746799374.0
Công ty TNHH Thương mại TTF,Phải thu ngắn hạn khác > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Khác,330.000.000,-,,330000000.0,
Công ty Cổ phần Lâm nghiệp Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Lãi cho vay,139.113.517,139.113.517,,139113517.0,139113517.0
Công ty Cổ phần Central Wood,Phải thu ngắn hạn khác > Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Chỉ hộ,93.250.000,93.250.000,,93250000.0,93250000.0
Công ty Cổ phần Bao bì Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Chỉ hộ,54.303.700,54.303.700,,54303700.0,54303700.0
,,,,43.188.335.848,123.210.849.853,,43188335848.0,123210849853.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,
Công ty TNHH MTV Sử Thiên Thanh,Phải thu về cho vay dài hạn > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Cho vay,16.600.000.000,16.600.000.000,,16600000000.0,16600000000.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay dài hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Cho vay,-,3.136.270.000,,,3136270000.0
,,,,16.600.000.000,19.736.270.000,,16600000000.0,19736270000.0
