row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty Cổ phần Tekcom,Công ty Cổ phần Tekcom,Công ty Cổ phần Tekcom,Góp vốn,-,166.600.013.370,,,166600013370.0
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Bán hàngCung cấpdịch vụKhác,24.842.821.3225.916.000.000600.000.000,130.352.130.5714.399.142.027-,,2.48428213225916e+29,
"Công ty Natuzzi SingaporePTE., Ltd","Công ty Natuzzi SingaporePTE., Ltd","Công ty Natuzzi SingaporePTE., Ltd",Góp vốn,-,122.728.870.000,,,122728870000.0
Công ty Cổ phần SửThiên Thanh,Công ty Cổ phần SửThiên Thanh,Công ty Cổ phần SửThiên Thanh,Cho vayLãi cho vayMua nguyên liệu,-3.657.000.00468.000.000,23.602.945.2502.533.438.362297.339.597,,-3.65700000468e+17,2.3602945250253343e+29
Công ty Cổ phần Chế biến GỗTrường Thành,Công ty Cổ phần Chế biến GỗTrường Thành,Công ty Cổ phần Chế biến GỗTrường Thành,"Cung cấpdịch vụMua nguyên liệu,hàng hóaBán nguyên liệu",1.593.325.3107.795.557.669184.358.246,52.455.417.67421.385.157.3371.727.531.796,,1.5933253107795557e+28,5.2455417674213855e+31
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Cung cấpdịch vụMua nguyên liệuBán nguyên liệu,14.208.790.5369.601.170.0954.057.685.650,7.360.072.0474.221.559.373-,,1.4208790536960116e+30,
Công ty Cổ phần Đồ gỗCasadora,Công ty Cổ phần Đồ gỗCasadora,Công ty Cổ phần Đồ gỗCasadora,Cung cấpdịch vụLãi cho vayMua nguyên liệu,2.520.000.0001.952.499.9982.217.713.080,2.902.957.5511.954.768.491-,,2.52000000019525e+29,
Công ty TNHH Trồng rừngTrường Thành OJI,Công ty TNHH Trồng rừngTrường Thành OJI,Công ty TNHH Trồng rừngTrường Thành OJI,Lãi cho vayChi hộThu hốikhoản vay,2.982.904.286-1.606.160.000,1.739.985.58232.400.000-,,,
Công ty Cổ phần Central Wood,Công ty TNHH Trồng rừngTrường Thành OJI > Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Chi phí lãi vay,2.982.904.286-,1.051.596.716,,,1051596716.0
Công ty Cổ phần Lâm NghiệpTrường Thành,Công ty TNHH Trồng rừngTrường Thành OJI > Công ty Cổ phần Lâm NghiệpTrường Thành,Công ty Cổ phần Lâm NghiệpTrường Thành,Cho vay,6.600.000.000,-,,6600000000.0,
