row_label_raw,row_label_full,Chỉ tiêu,Không ảnh hưởng kỳ hạn,Trong hạn > Dế n 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Từ 1 - 5 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Không ảnh hưởng kỳ hạn,numeric__Trong hạn > Dế n 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Từ 1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",212.802,-,-,-,-,-,212.802,212802.0,,,,,,212802.0
Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,-,856.957,-,-,-,-,856.957,,856957.0,,,,,856957.0
"Tiền, vàng gối tai và cho vay các TCTD khác (*)","Tiền, vàng gối tai và cho vay các TCTD khác (*)","Tiền, vàng gối tai và cho vay các TCTD khác (*)",-,2.856.595,175.000,,-,-,3.031.595,,2856595.0,175000.0,,,,3031595.0
Chứng khoán kinh dounh (*),Chứng khoán kinh dounh (*),Chứng khoán kinh dounh (*),-,-,-,-,-,-,-,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,,,,,,,
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),-,1.308.933,2.154.069,7.152.818,2.084.964,1.404.660,14.105.444,,1308933.0,2154069.0,7152818.0,2084964.0,1404660.0,14105444.0
Chứng khoán đầu tư (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,100.657,-,479.154,1.366.259,-,1.946.070,,100657.0,,479154.0,1366259.0,,1946070.0
"Góp vốn, đầu tư dài hạn (*)","Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,738.158,738.158,,,,,,738158.0,738158.0
Tài sản cố định và Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,1.080.443,1.080.443,,,,,,1080443.0,1080443.0
Tài sản Có khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản Có khác (*),Tài sản Có khác (*),408.149,-,-,-,-,-,408.149,408149.0,,,,,,408149.0
Tổng Tài sản,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tổng Tài sản,Tổng Tài sản,620.951,5.123.142,2.329.069,7.631.972,3.451.223,3.223.261,22.379.618,620951.0,5123142.0,2329069.0,7631972.0,3451223.0,3223261.0,22379618.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,-,-,-,-,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,2.622.835,150.000,-,-,-,2.772.835,,2622835.0,150000.0,,,,2772835.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,6.886.980,3.962.882,4.209.966,401.248,,15.461.076,,6886980.0,3962882.0,4209966.0,401248.0,,15461076.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,-,,,,,,,
Các khoản nợ khác,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Các khoản nợ khác",Các khoản nợ khác,-,278.782,-,-,-,-,278.782,,278782.0,,,,,278782.0
Tổng Nợ phải trả,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Tổng Nợ phải trả",Tổng Nợ phải trả,-,9.788.597,4.112.882,4.209.966,401.248,-,18.512.693,,9788597.0,4112882.0,4209966.0,401248.0,,18512693.0
Mức chênh thanh khoản ròng,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Mức chênh thanh khoản ròng",Mức chênh thanh khoản ròng,620.951,(4.665.455),(1.783.813),3.422.006,3.049.975,3.223.261,3.866.925,620951.0,-4665455.0,-1783813.0,3422006.0,3049975.0,3223261.0,3866925.0
