row_label_raw,row_label_full,Ông Phạm Văn Thông > Ông Trần Quốc Hải > Ông Vũ Quang Lăm,Chủ tịch > Thành viên,08/06/2017,08/06/2017_1,numeric__Chủ tịch > Thành viên,numeric__08/06/2017,numeric__08/06/2017_1
Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Thành viên,,,,,
Ông Trần Thế Truyền,Ông Trần Thế Truyền,Ông Trần Thế Truyền,Thành viên,,,,,
Ông Nguyễn Ngọc Điều,Ông Nguyễn Ngọc Điều,Ông Nguyễn Ngọc Điều,Thành viên,,08/06/2017,,,
Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Thành viên,,,,,
Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Thành viên,08/06/2017,,,,
