row_label_raw,row_label_full,Ông Vũ Quang Lăm > Bà Trần Thị Việt Ánh,Tổng Giám đốc,12/06/2017,12/06/2017_1,numeric__Tổng Giám đốc,numeric__12/06/2017,numeric__12/06/2017_1
Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Phó Tổng giám đốc,,,,,
Bà Phạm Thị Cúc,Bà Phạm Thị Cúc,Bà Phạm Thị Cúc,Phó Tổng giám đốc,,01/09/2017,,,
Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Phó Tổng giám đốc,,,,,
Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Phó Tổng giám đốc,,,,,
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Phó Tổng giám đốc,,,,,
Bà Đỗ Thị Loan Anh,Bà Đỗ Thị Loan Anh,Bà Đỗ Thị Loan Anh,Kế toán trường,,,,,
