row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,721.484,62.999,48.355,36.480,10.076,879.394,721484.0,62999.0,48355.0,36480.0,10076.0,879394.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,48.214,6.687,2.784,438,1.316,59.439,48214.0,6687.0,2784.0,438.0,1316.0,59439.0
- Tăng do điều chuyển,Nguyên giá TSCĐ hữu hình > - Tăng do điều chuyển,- Tăng do điều chuyển,-,91,1.633,-,-,1.724,,91.0,1633.0,,,1724.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,-,393,-,8,12,413,,393.0,,8.0,12.0,413.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(35),(606),(650),(34),(236),(1.561),-35.0,-606.0,-650.0,-34.0,-236.0,-1561.0
- Giảm do điều chuyển,Nguyên giá TSCĐ hữu hình > - Giảm do điều chuyển,- Giảm do điều chuyển,-,-,(1.633),(91),-,(1.724),,,-1633.0,-91.0,,-1724.0
- Giảm do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(12.591),(395),-,(10),(12),(13.008),-12591.0,-395.0,,-10.0,-12.0,-13008.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,757.072,69.169,50.489,36.791,11.156,924.677,757072.0,69169.0,50489.0,36791.0,11156.0,924677.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,166.798,57.670,39.303,19.108,8.793,291.672,166798.0,57670.0,39303.0,19108.0,8793.0,291672.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,28.511,2.806,2.532,3.099,639,37.587,28511.0,2806.0,2532.0,3099.0,639.0,37587.0
- Tăng do điều chuyển,Giá trị hao mòn lũy kế > - Tăng do điều chuyển,- Tăng do điều chuyển,-,91,1.633,-,-,1.724,,91.0,1633.0,,,1724.0
- Tăng do điều chỉnh,Giá trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,3,21,10,66,9,109,3.0,21.0,10.0,66.0,9.0,109.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(3),(606),(650),-,(236),(1.495),-3.0,-606.0,-650.0,,-236.0,-1495.0
- Giảm do điều chuyển,Giá trị hao mòn lũy kế > - Giảm do điều chuyển,- Giảm do điều chuyển,-,-,(1.633),(91),-,(1.724),,,-1633.0,-91.0,,-1724.0
- Giảm do điều chỉnh,Giá trị hao mòn lũy kế > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(4.945),(20),(10),(64),(9),(5.048),-4945.0,-20.0,-10.0,-64.0,-9.0,-5048.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,190.364,59.962,41.185,22.118,9.196,322.825,190364.0,59962.0,41185.0,22118.0,9196.0,322825.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,554.686,5.329,9.052,17.372,1.283,587.722,554686.0,5329.0,9052.0,17372.0,1283.0,587722.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,566.708,9.207,9.304,14.673,1.960,601.852,566708.0,9207.0,9304.0,14673.0,1960.0,601852.0
