row_label_raw,row_label_full,Chỉ tiêu,col_1,EUR được quy đổi,USD được quy đổi,Giá trị vàng tiền tệ được quy đổi,Các ngoại tệ khác được quy đổi,Tổng,numeric__col_1,numeric__EUR được quy đổi,numeric__USD được quy đổi,numeric__Giá trị vàng tiền tệ được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Tổng
Tải sún,Tải sún,Tải sún,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sún > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",,2.084,24.836,-,233,27.153,,2084.0,24836.0,,233.0,27153.0
Tiền gối tại ngân hàng Nhà nước,Tải sún > Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,,-,48.562,-,-,48.562,,,48562.0,,,48562.0
"Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tải sún > Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)",,36.988,1.613.912,-,3.814,1.654.714,,36988.0,1613912.0,,3814.0,1654714.0
Các công cu tài chính phải sinh và các tài sản tài chính khác (*),Các công cu tài chính phải sinh và các tài sản tài chính khác (*),Các công cu tài chính phải sinh và các tài sản tài chính khác (*),,-,-,-,-,-,,,,,,
Cho vay khách hàng (*),Các công cu tài chính phải sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),,-,592.312,-,-,592.312,,,592312.0,,,592312.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),,-,-,-,-,-,,,,,,
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",,-,-,-,-,-,,,,,,
Tải sán Cổ khác (*),"Góp vốn, đầu tư dài hạn (*) > Tải sán Cổ khác (*)",Tải sán Cổ khác (*),,-,2.748,-,3,2.751,,,2748.0,,3.0,2751.0
Tổng Tài sún,"Góp vốn, đầu tư dài hạn (*) > Tổng Tài sún",Tổng Tài sún,,39.072,2.282.370,-,4.050,2.325.492,,39072.0,2282370.0,,4050.0,2325492.0
Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,1.403.948,-,-,1.403.948,,,1403948.0,,,1403948.0
Tiền gửi của khách hàng,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,21.141,449.839,-,1.166,472.146,,21141.0,449839.0,,1166.0,472146.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),,-,-,-,-,-,,,,,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,-,-,-,-,-,,,,,,
Phát hành giấy tờ cổ giá,Phát hành giấy tờ cổ giá,Phát hành giấy tờ cổ giá,,-,-,-,-,-,,,,,,
Các khoản nợ khác,Phát hành giấy tờ cổ giá > Các khoản nợ khác,Các khoản nợ khác,,17.931,428.583,-,2.884,449.398,,17931.0,428583.0,,2884.0,449398.0
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,,-,-,-,-,-,,,,,,
Tổng Nợ phải trả và Vốn chủ sở hữu,Vốn và các quỹ > Tổng Nợ phải trả và Vốn chủ sở hữu,Tổng Nợ phải trả và Vốn chủ sở hữu,,39.072,2.282.370,-,4.050,2.325.492,,39072.0,2282370.0,,4050.0,2325492.0
Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,,-,-,-,-,-,,,,,,
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,,-,-,-,-,-,,,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",,-,-,-,-,-,,,,,,
